1570367357,0,0,3,"CA,C3,CQ,C2;D10,DQ,D6,DA;D5,D4,DJ,D7;C9,C7,C6,C5;S2,SJ,S6,SA;D2,H6,D3,D9;S3,S10,S9,S8;CK,C8,HK,C10;HJ,H9,H7,H8;H3,SK,H5,S4;H2,CJ,HA,C4;DK,S5,H4,S7;D8,SQ,H10,HQ"
1570367357,0,4,3,"C10,CJ,C3,C2;D6,D4,D7,D8;C5,C7,C6,CQ;SJ,SQ,SA,S10;H2,HQ,CK,C9;D2,DA,D10,DJ;H5,H8,H4,H6;S6,S7,S2,S9;C4,DK,S5,CA;D5,H7,S4,DQ;SK,H10,S3,C8;D3,HK,S8,D9;H9,HJ,HA,H3"
1570367357,0,1,3,"C3,S5,C6,C2;C10,C4,H3,CJ;C8,C5,H2,C7;H5,H10,H9,HA;S6,S9,S3,S4;D5,D2,DJ,D9;D8,D7,D10,D3;H8,HJ,H6,H7;SA,DK,DA,D4;SJ,SQ,CK,C9;S7,HK,SK,HQ;S10,CA,D6,DQ;S2,S8,CQ,H4"
1570367357,0,0,3,"C4,C6,CA,C2;D5,D8,D3,D9;S6,S2,S4,SA;DA,DQ,D2,D7;S9,S10,SQ,S7;D6,D4,DK,D10;H9,C3,CQ,C8;H2,SJ,S8,S5;H8,HQ,H6,H3;C9,HK,CJ,CK;HJ,H7,HA,SK;H5,H4,C10,S3;H10,DJ,C5,C7"
1570367357,0,3,3,"C4,C5,C10,C2;DA,DQ,DK,D6;S2,S4,SQ,S7;SJ,S9,SK,S3;CJ,C6,C3,CQ;H8,D5,D4,D7;C7,H9,CK,CA;H5,HK,HQ,H3;D2,D9,S10,DJ;H6,D8,S6,D10;H4,HJ,S8,D3;HA,H7,C8,H10;H2,C9,SA,S5"
1570367357,0,1,3,"CK,CA,C6,C2;DK,D4,D9,D8;S4,SA,H4,S8;H7,SK,S7,S6;D5,H5,HK,HQ;HJ,D3,D6,DJ;H9,D7,D2,DA;C8,C9,S5,C10;SQ,SJ,S9,DQ;H8,C3,H2,C5;H3,C7,H10,C4;S10,D10,HA,CJ;S3,H6,S2,CQ"
1570367357,0,22,3,"C8,C10,CQ,C2;S5,SK,SJ,S3;D4,D6,D2,D9;H7,DJ,DQ,D5;DK,C9,CK,CA;H6,HK,HA,H4;HQ,H10,HJ,H2;D8,CJ,C6,C4;S2,H5,D7,H3;S8,C3,S9,C5;S6,H9,S4,S7;D3,H8,SQ,SA;DA,C7,S10,D10"
1570367357,0,1,3,"CQ,C9,C5,C2;D7,DA,D9,D5;S7,S10,S5,SJ;S8,DK,H9,S9;H6,CA,C10,C8;D4,C7,D10,D2;H10,HA,H4,H3;C3,HK,H7,HQ;D8,C6,S2,DQ;D6,H2,S4,SA;DJ,HJ,S3,H8;SK,S6,CK,C4;CJ,SQ,H5,D3"
1570367357,0,9,3,"C6,CQ,CA,C2;D2,DJ,D6,D10;S5,S6,S4,SQ;D9,D4,DQ,D8;SA,S3,S10,S2;SK,SJ,C8,S9;C10,CK,C7,C5;D5,D3,DK,DA;H9,H3,C9,D7;HK,HA,H4,H6;C3,H5,C4,CJ;H2,HJ,H10,HQ;S8,H8,H7,S7"
1570367357,0,4,3,"C3,C7,C4,C2;DK,D7,D2,D8;S3,SQ,S2,SJ;D10,D3,DA,D9;C9,CA,C10,CK;S9,S8,S6,S4;HQ,SA,S7,S5;H9,C8,H5,CQ;H2,DQ,H4,HA;HK,D5,D4,D6;H10,C5,H6,H3;S10,H7,CJ,SK;C6,DJ,HJ,H8"
1570367357,0,0,3,"C9,C7,CJ,C2;SA,SQ,SJ,S3;D6,D10,D2,D3;S5,S4,S2,S10;SK,H9,S8,S9;C5,C4,H4,C6;H5,HA,H10,HK;DQ,D7,D8,D9;HQ,HJ,H8,H3;C10,C8,S7,C3;DK,H2,CA,CQ;DJ,DA,H6,S6;D4,D5,H7,CK"
