1570504683,0,11,3,"CQ,CJ,C3,C2;S6,SJ,S7,S9;S8,D5,DA,D8;D3,C4,D4,DK;DJ,C5,D10,D9;C9,C10,CA,C8;SQ,S10,S2,S4;H9,SA,C7,S3;HJ,H7,H4,H5;D2,H8,DQ,D6;HA,H10,HQ,H2;H3,C6,H6,D7;S5,CK,SK,HK"
1570504683,0,3,3,"C3,C8,CK,C2;S5,S8,S6,S9;C6,C5,C9,C4;DA,D4,D3,DJ;SJ,D10,SK,SA;S4,C10,C7,CA;S7,D9,S3,SQ;H3,D8,HK,CJ;H8,HJ,H9,HQ;H5,H4,H7,H10;H6,D2,HA,H2;CQ,D6,D5,S2;DK,DQ,D7,S10"
1570504683,0,4,3,"C9,C7,C3,C2;S7,S10,SQ,S5;C8,C4,C10,CA;HK,C5,S3,CQ;D7,H9,DA,C6;H10,H6,H2,H4;DK,D6,D8,D2;H5,H8,D10,HJ;S6,HA,D4,H3;DJ,H7,SA,CK;DQ,S8,D9,CJ;SK,HQ,S2,D5;S9,S4,SJ,D3"
1570504683,0,1,3,"C8,C3,C5,C2;D10,D8,D2,D7;C9,CK,HK,CA;CJ,C4,HA,C10;H4,H9,H5,H2;D3,D9,D4,DJ;SQ,S2,S7,S8;H3,HJ,S3,CQ;S4,S6,S5,SK;S10,H6,S9,C6;DA,D6,HQ,C7;D5,DK,H10,DQ;SA,H8,SJ,H7"
1570504683,0,6,3,"CJ,CK,C3,C2;S10,S3,S2,S7;D10,DA,DQ,D6;C8,C7,H4,C5;S4,S6,SQ,SJ;H6,H8,HJ,HQ;CA,D9,D4,D3;SK,D7,S8,S9;H3,H5,HK,H7;D8,DK,C9,S5;H9,D5,C4,SA;D2,C6,H10,CQ;DJ,C10,HA,H2"
1570504683,0,12,3,"CQ,CK,C5,C2;C7,C3,C6,C8;D9,C10,C4,CA;D10,DQ,D2,D3;SQ,H9,S6,S9;D5,D4,D8,DK;HA,S2,SA,S7;H5,H8,H6,H10;S4,D7,SJ,S10;HK,H4,H7,H2;S3,CJ,S5,S8;H3,DA,HJ,HQ;D6,C9,DJ,SK"
1570504683,0,5,3,"C4,C8,CA,C2;D3,D7,D5,D8;D10,DK,S10,D2;HK,DJ,DA,D4;H4,H5,H7,HQ;S7,S6,S9,S5;H8,C9,C10,C6;C3,S2,SJ,SA;CK,S4,H6,SK;C7,SQ,H3,S3;HA,HJ,H10,H9;CJ,CQ,D9,DQ;S8,C5,H2,D6"
1570504683,0,15,3,"C5,CA,C3,C2;D10,D9,D7,DA;S6,D5,C7,D8;SK,CJ,S2,S9;D6,S4,S5,S8;C8,C9,H8,C10;HA,H10,HK,H2;HJ,D3,H5,D4;H3,DQ,H4,D2;S3,H9,S10,S7;HQ,CK,C4,CQ;C6,H6,DK,H7;DJ,SJ,SA,SQ"
1570504683,0,3,3,"C7,C5,CA,C2;D8,DA,D5,DQ;D9,D4,DJ,D6;C3,CQ,CK,C10;S9,S3,S2,S4;C9,C8,HA,CJ;H8,C6,H3,C4;H9,H7,H6,HJ;HK,SK,H10,H4;S8,D10,D7,DK;SQ,SA,S5,S10;H5,HQ,S6,D3;SJ,H2,S7,D2"
1570504683,0,6,3,"CK,C3,C10,C2;D2,D10,D3,DA;SK,S5,S7,S2;DK,D6,D8,D5;SJ,S9,SA,SQ;C8,CQ,S10,CA;H7,C9,H2,C6;H6,H5,H10,H9;HK,H8,H4,H3;D9,HJ,DJ,D7;C7,D4,S8,DQ;C4,S3,C5,S4;HQ,S6,CJ,HA"
1570504683,0,4,3,"C8,C10,C5,C2;S8,S5,S4,SA;C7,CJ,D8,CQ;DQ,DK,D7,D4;DJ,C3,H7,C4;SJ,C6,H8,C9;H9,H2,SQ,CK;S10,SK,S6,S3;D10,CA,D6,D5;HJ,HK,H4,H5;DA,D2,S9,D9;H6,H10,H3,HA;D3,S2,HQ,S7"
1570504683,0,0,3,"CA,C5,C7,C2;SA,S2,S10,SK;DQ,D9,D3,DK;S3,S9,SJ,S4;C10,C8,C9,CK;D4,D2,D6,DJ;S6,S8,H8,S5;CQ,HJ,H5,C6;HA,D5,DA,D7;C4,H2,H3,CJ;H7,HQ,H4,H6;D10,S7,H9,SQ;D8,HK,C3,H10"
