1570544991,0,13,2,"CA,CK,CQ,C2;D7,D6,DJ,D8;S6,S10,S2,S7;S8,S9,SK,SA;C8,C7,C10,C9;DK,D4,D10,D9;S5,SJ,H5,S3;C4,H8,C3,CJ;HQ,H7,H3,H2;DQ,DA,D5,D3;HA,HJ,HK,H10;D2,SQ,C6,S4;H9,C5,H6,H4"
1570544991,0,1,2,"C4,CJ,C5,C2;S10,S2,S9,S3;D4,D5,DJ,D9;DK,D2,D3,D8;C10,CA,H10,D6;S6,S8,SA,SJ;D7,H5,H6,HK;DQ,H8,H2,HA;S4,S5,SQ,SK;CQ,C7,C9,CK;S7,C6,HQ,C3;H7,H9,DA,H4;D10,H3,HJ,C8"
1570544991,0,12,2,"CA,C6,C10,C2;D6,DK,DJ,D9;D10,DA,D7,D4;S5,S8,S4,SK;C7,CK,CQ,C5;HQ,D3,D5,DQ;S9,HK,S10,SJ;H3,H4,H9,H10;H8,H5,H6,HA;S6,HJ,SQ,S7;C8,C3,C9,C4;CJ,H7,S3,H2;SA,D2,S2,D8"
1570544991,0,0,2,"C10,C8,C6,C2;SK,SA,S5,S8;D2,D3,D10,DJ;DQ,D8,D5,D9;S4,H10,S9,S3;H8,HJ,H2,H4;C9,HA,CJ,C5;S7,D4,S6,SJ;C4,CK,DA,C7;H5,HK,H6,H3;D7,HQ,D6,DK;C3,H7,S2,H9;S10,CQ,SQ,CA"
1570544991,0,0,2,"CA,C7,C5,C2;D6,D2,D4,D3;SQ,S2,S4,SK;SJ,C4,S5,S8;DK,D8,DQ,D9;CK,CJ,D10,C8;H3,S7,CQ,C10;H4,HQ,H5,C6;H7,H9,H8,H6;D7,HJ,HA,DA;S10,H2,HK,D5;S9,C9,S3,S6;C3,H10,DJ,SA"
1570544991,0,20,2,"C8,C5,C10,C2;SA,SK,S7,S10;CA,CJ,C7,C9;S4,S3,S6,SJ;D5,D4,D10,D3;D6,DA,DQ,D2;H2,DJ,D8,DK;H4,H10,H9,H3;D7,HJ,H5,D9;H7,HA,HQ,HK;SQ,C3,H6,H8;S8,CK,CQ,C4;S9,C6,S5,S2"
1570544991,0,0,2,"C6,CQ,C8,C2;D5,D10,DA,D7;SA,S10,S5,S8;D4,D6,D2,DK;C10,C3,C5,C4;CK,C7,CA,CJ;D9,DJ,H7,D3;H8,H2,SQ,HQ;H4,H3,S6,HA;S7,H5,C9,H10;S2,HJ,S9,HK;S3,DQ,SJ,D8;S4,H9,SK,H6"
1570544991,0,21,2,"S10,CJ,CQ,C2;D10,DA,D9,D3;S8,S3,SJ,SA;SK,HJ,S6,S4;H2,H7,HQ,H9;H5,HK,H10,H4;DQ,DJ,D2,D5;D7,C5,C6,C9;DK,C10,C4,C3;HA,S7,H3,H8;C8,D6,S2,CK;D4,H6,D8,CA;S9,SQ,S5,C7"
1570544991,0,2,2,"C3,C6,CK,C2;SA,SJ,S7,S4;D10,D8,D7,D2;C4,C5,C10,CA;CQ,CJ,D4,C8;SK,S5,S9,SQ;DA,DQ,H6,D9;HA,H4,H10,H3;HJ,H7,H8,HQ;S3,HK,S8,S6;DJ,H9,DK,H5;D6,H2,C9,C7;S2,D3,S10,D5"
1570544991,0,5,2,"C3,C10,C4,C2;SK,S4,SJ,S9;D8,D9,D6,D10;D5,D3,D4,DK;C6,CJ,CA,CQ;S5,S7,S6,S8;C8,SQ,H6,S3;C9,S10,HQ,S2;DJ,H4,HJ,H3;H2,C5,HA,C7;DQ,DA,SA,D7;H7,HK,H10,CK;H9,H5,H8,D2"
1570544991,0,0,2,"CQ,CK,C5,C2;D3,DK,D7,D8;SK,S8,S10,SJ;C7,HK,C3,CJ;H2,H10,H4,HQ;H3,H5,H7,HA;C10,S2,SA,C8;S7,H9,CA,C6;D6,DJ,D9,D5;S5,S3,DQ,S4;H6,D10,SQ,S9;HJ,DA,C9,D4;H8,D2,S6,C4"
1570544991,0,2,2,"CQ,C7,C10,C2;S10,SQ,S6,SK;DQ,D3,D5,DJ;S5,S9,S4,SJ;S2,C3,S8,SA;D7,D10,DK,D4;CA,CK,C9,C4;H3,H4,H8,S3;HQ,HJ,H7,H9;C8,C5,S7,C6;H2,D6,H5,DA;HK,D9,CJ,D2;H10,D8,H6,HA"
