1571141212,0,0,0,"CA,C10,C6,C2;SA,S2,S9,S5;SQ,C4,C3,C9;SK,C8,CQ,CK;D8,DA,D9,D5;S8,HA,S7,S3;HJ,S6,S4,SJ;D6,D10,D4,D3;HQ,HK,H6,H2;DJ,D2,DQ,D7;H9,H10,H8,S10;C7,H5,H7,C5;H4,H3,DK,CJ"
1571141212,0,5,0,"C3,C8,CA,C2;C6,C9,CK,CQ;D9,D8,D7,D4;D6,DA,DJ,D2;SQ,S2,S4,S7;S6,S3,SJ,S5;S10,SA,S8,S9;DK,D3,D10,D5;H2,H6,HJ,H5;H7,HK,CJ,H3;C10,H9,HA,H4;HQ,C7,SK,H8;C5,DQ,H10,C4"
1571141212,0,1,0,"C10,CJ,CK,C2;CA,C4,H8,C5;D2,D10,DA,D4;H9,H5,H3,H4;H7,DK,HA,H6;H10,H2,DQ,HJ;D5,D3,D6,D7;SQ,D8,D9,DJ;HK,S2,S9,S5;S7,HQ,S10,S3;SJ,SA,C9,C3;CQ,S8,SK,C7;S4,S6,C8,C6"
1571141212,0,14,0,"CK,C5,CA,C2;DJ,D6,D9,D2;SK,SA,S6,S5;S10,S9,S3,S4;D3,DK,DA,D5;SQ,H10,S2,S8;H9,SJ,HA,S7;DQ,D10,H6,D4;HJ,H3,HK,H2;C8,H8,C4,C6;H4,H5,CQ,H7;D8,CJ,C10,HQ;D7,C3,C9,C7"
1571141212,0,7,0,"C10,C6,CA,C2;S3,S7,S8,S2;C7,CQ,C3,C8;CK,C9,C5,CJ;D2,D8,D10,D5;D7,DJ,DQ,DA;SK,SQ,S4,S5;D3,D4,SA,DK;H9,HA,H6,H3;S9,HK,H10,S6;H5,H7,C4,H2;SJ,HQ,HJ,D6;S10,H8,H4,D9"
1571141212,0,0,0,"C9,C7,CJ,C2;CK,C3,C5,C6;D2,D3,D9,D8;SA,D6,D4,D7;HK,D10,SK,DJ;H6,H4,HA,H3;S4,S6,SJ,S5;S9,SQ,S7,S2;S3,S8,CA,S10;H7,DA,HQ,H5;H8,H2,CQ,H9;H10,C10,DQ,HJ;DK,C4,D5,C8"
1571141212,0,25,0,"C10,SA,CJ,C2;SJ,S7,S10,S9;DJ,D10,DA,D3;D4,D6,D9,D2;D7,DQ,DK,D5;S5,HA,H10,S3;D8,H9,S8,S2;SQ,H3,H6,S4;H2,H4,CA,S6;CK,CQ,H7,H8;C6,C9,H5,HQ;C5,C8,HJ,HK;C4,C7,C3,SK"
1571141212,0,25,0,"C7,C5,CA,C2;D7,D3,D4,DJ;C4,CK,C10,C3;DQ,SA,D6,D2;S6,S3,S10,S2;C9,SK,D5,D8;S7,CJ,DA,D9;S4,HQ,SJ,S9;HA,SQ,HJ,S5;H10,S8,H9,D10;H5,HK,CQ,DK;H2,H4,C8,H7;H3,H6,C6,H8"
1571141212,0,1,0,"C5,CQ,C9,C2;S10,S5,SQ,S6;CJ,C3,C4,C7;S3,S9,DA,S7;D10,D7,D5,D2;D8,SK,DQ,D3;D4,D9,CA,D6;S2,SA,HQ,S8;H5,H6,H3,H2;S4,HA,HJ,SJ;C6,DJ,C10,C8;HK,H8,H9,H7;H4,H10,CK,DK"
1571141212,0,3,0,"C8,C10,C3,C2;SJ,S3,S4,S6;C6,C9,CQ,C4;SQ,SA,S5,S8;C7,CA,CJ,C5;DA,DJ,D7,D2;D5,D9,D4,DQ;H5,H9,H3,H4;HK,HA,S9,S2;CK,H6,H7,H2;HJ,D6,DK,H8;S10,D10,HQ,D8;H10,SK,S7,D3"
1571141212,0,6,0,"C7,C5,C4,C2;D10,D5,DA,D3;SJ,SA,S8,S4;HQ,S10,SK,S2;H7,H9,H3,H4;C10,CK,CQ,C6;HJ,CJ,H10,H6;DK,S6,SQ,S3;S5,DQ,S9,S7;CA,H2,DJ,H5;C9,HK,D9,H8;D4,D2,C8,D6;D7,HA,C3,D8"
1571141212,0,13,0,"CJ,C8,CA,C2;D6,DK,D8,D9;SQ,S2,S4,S5;SJ,S8,S6,S9;DJ,D3,D4,D10;HA,HJ,SA,S7;HQ,D5,D7,DQ;H8,DA,D2,S3;H5,H9,H6,S10;H2,H4,CK,H7;H3,C7,CQ,H10;C10,C6,C5,HK;C9,C3,C4,SK"
