1571364959,0,7,0,"CQ,C3,C9,C2;SQ,S8,S7,S6;D4,D7,DJ,D6;S5,S9,SK,S10;C7,SA,S4,SJ;S2,H3,HA,S3;D8,DA,D3,D9;HK,HJ,H10,H5;CK,HQ,H9,H2;C4,H6,CJ,H7;C5,H4,C10,H8;D5,DQ,DK,D2;D10,C8,C6,CA"
1571364959,0,14,0,"C3,C4,C10,C2;S3,S4,SK,S2;SJ,S6,S9,S5;HQ,C9,C5,C8;H2,HA,H9,H4;H8,H6,H3,H5;D8,DJ,D10,D3;D2,SQ,SA,S7;S8,H10,D5,H7;DK,HJ,DQ,HK;DA,D4,CJ,D7;C6,C7,CQ,S10;D6,CA,CK,D9"
1571364959,0,0,0,"C7,C4,CQ,C2;SK,SA,S9,S3;S4,SJ,S10,S2;CK,S6,SQ,S7;H5,D6,DQ,S5;D3,C3,D4,S8;H6,H8,HQ,H4;C6,HK,HJ,H3;H2,H9,C5,H7;D8,CA,C8,C10;H10,D10,D2,HA;CJ,DK,DJ,D5;DA,D9,C9,D7"
1571364959,0,22,0,"C8,CJ,C3,C2;S2,S4,S9,S3;D7,D4,DK,D3;DJ,DQ,D8,D2;SK,C7,SA,S5;S8,SQ,H9,SJ;CK,H7,S6,S7;C9,H8,C4,C6;H10,C10,CQ,CA;D5,H2,D10,D9;DA,H4,HA,D6;H3,S10,HQ,H6;HJ,H5,C5,HK"
1571364959,0,15,0,"C6,C5,CJ,C2;SQ,S7,SA,S2;D4,D7,DA,D2;H7,CK,C7,C3;DJ,D6,S9,S5;HK,H8,H10,H2;D8,DQ,S4,S6;H9,D5,SK,S8;S10,H4,H3,S3;DK,H6,HQ,SJ;HA,C4,D10,D3;C10,CQ,HJ,H5;D9,C9,CA,C8"
1571364959,0,0,0,"CA,CJ,CQ,C2;SQ,S3,S7,S2;C6,C10,C7,CK;DJ,DQ,D5,D2;D6,D4,DA,D8;C4,C5,H3,C3;S6,SA,D10,S8;HJ,S10,SK,S4;H9,H10,H4,H5;H2,HA,H6,H7;H8,HK,D7,HQ;S9,DK,SJ,C8;D3,D9,S5,C9"
1571364959,0,4,0,"C4,C10,C6,C2;S7,SA,S5,S2;SK,S9,S3,S6;D9,SQ,SJ,S4;CQ,CJ,CA,C9;H5,DK,C3,C7;H8,H10,HA,H2;D8,H4,H6,H3;D6,D2,HK,S8;D10,DJ,H9,S10;H7,D7,D4,D3;DA,D5,C5,C8;HJ,DQ,HQ,CK"
1571364959,0,5,0,"C7,C3,CQ,C2;CA,S2,CJ,C8;D4,DA,D2,D7;CK,C10,HQ,C6;HJ,H3,H4,H2;H8,D3,HK,H5;H10,S4,DK,H6;SJ,SK,H7,H9;D8,D6,D10,D9;C4,D5,S3,HA;SQ,S10,S9,S6;DJ,S5,SA,C5;DQ,S7,S8,C9"
1571364959,0,4,0,"C8,C6,C5,C2;S8,S4,S2,S7;D3,D5,D6,D4;SK,S3,SA,S10;SJ,DK,SQ,S5;H6,H2,HA,S6;H3,C3,D9,S9;H7,HK,H8,H4;C10,HJ,CQ,C7;CJ,CK,H9,H10;D2,CA,H5,HQ;D10,C9,D7,C4;DQ,DJ,DA,D8"
1571364959,0,13,0,"CJ,C3,C5,C2;C6,CQ,C9,C10;DA,D8,D4,D2;S3,SJ,S6,S5;SQ,S9,SA,S4;S8,SK,S7,S10;H2,D6,D5,S2;HK,D10,D9,DQ;H6,H4,HA,H7;HJ,CK,D7,DK;H8,C8,DJ,C4;H5,CA,HQ,H3;H10,D3,C7,H9"
1571364959,0,19,0,"CK,C8,CJ,C2;D2,D9,D4,D5;C5,C6,CQ,C3;S6,S8,SK,S3;S10,C7,C9,C4;H3,DQ,DJ,D3;S2,S7,H6,S4;HA,H9,HJ,H2;H8,H10,H5,H4;DA,H7,D8,D7;HK,S9,SQ,HQ;S5,DK,SA,C10;D6,D10,SJ,CA"
1571364959,0,0,0,"C3,CK,CJ,C2;C7,C4,C5,C9;C6,CQ,C10,CA;D8,DQ,D3,D2;S9,SK,S4,S8;S3,H2,SA,S2;HK,HA,H3,H5;DA,SQ,SJ,S5;D9,H9,D6,S6;D10,H4,H7,S7;H8,HJ,D5,S10;H10,D4,H6,HQ;D7,DJ,C8,DK"
