1571375435,0,20,0,"C10,C9,CQ,C2;CA,CK,HK,C6;HQ,H8,HJ,H2;SJ,S2,SQ,S4;S10,S8,SA,S3;H10,H7,S9,H3;D9,S5,SK,S6;DA,H9,DQ,S7;H6,H4,DJ,H5;C3,D10,CJ,C7;DK,C8,D4,HA;D6,C5,D2,D5;C4,D3,D7,D8"
1571375435,0,0,0,"CJ,C10,C5,C2;DK,D5,D6,D9;D3,D2,D10,D4;SA,DQ,D8,DJ;SK,S3,S8,S9;SQ,C9,C8,C3;SJ,HA,S6,S4;CA,S7,HQ,S10;H3,H4,H2,H5;H7,H10,H8,H6;HJ,D7,CQ,S2;CK,HK,C7,S5;C6,H9,C4,DA"
1571375435,0,4,0,"C5,C7,C3,C2;S5,S7,S6,S4;HA,C8,CQ,C6;H7,H9,H8,H2;S9,SK,HQ,S2;D2,D4,D9,D3;SA,H5,SJ,S8;CJ,HJ,HK,H10;SQ,C10,S3,S10;D10,D7,C4,DA;DK,DJ,H6,C9;DQ,D8,H4,CK;D5,D6,H3,CA"
1571375435,0,3,0,"CQ,CA,C5,C2;SQ,SK,SJ,S2;S4,S8,S3,S6;S7,CJ,S10,S5;DA,SA,HQ,S9;DK,D10,D5,D8;HK,H3,H7,H4;H2,C10,HJ,C3;H5,HA,DJ,H6;D6,H8,H9,H10;D4,C6,DQ,C4;D9,C8,D3,C7;D2,C9,D7,CK"
1571375435,0,0,0,"C6,C10,C7,C2;S4,S9,SK,S2;CA,CQ,C4,C8;S6,SJ,S10,S3;CK,C9,DA,C5;D9,D3,DK,D2;SA,C3,S5,CJ;D5,DQ,D4,D7;HQ,D10,H9,D6;H2,H6,H5,H3;H4,HA,H7,H8;S8,DJ,HJ,HK;S7,D8,H10,SQ"
1571375435,0,17,0,"C6,C3,C8,C2;D7,D8,DK,D6;SQ,S3,S5,S2;S8,SK,HK,S10;HQ,HA,H2,H5;S7,SA,HJ,SJ;H10,H6,S6,S9;H7,H4,H3,H8;C7,CJ,CA,C4;DA,C9,CK,S4;C5,D10,CQ,H9;D5,D3,DQ,D4;C10,D2,D9,DJ"
1571375435,0,8,0,"C9,CA,C8,C2;S3,S9,S2,S5;C7,C6,SA,C4;CK,HA,CJ,C5;S10,SJ,SQ,S7;H8,H5,SK,H2;S4,S6,CQ,S8;DK,C10,HQ,C3;D2,D10,HK,D4;H10,D9,D3,D5;D6,D7,H9,DJ;H7,D8,H6,DQ;H3,HJ,H4,DA"
1571375435,0,13,0,"C5,CQ,CJ,C2;SA,SJ,SK,S2;C8,C7,C4,C10;DK,DA,D8,D6;S5,S4,S9,S6;C3,C9,SQ,C6;S10,CA,S7,S8;HK,CK,HA,S3;H10,HJ,H4,H2;D4,DQ,DJ,D5;H5,H9,H3,H6;D3,H7,D10,H8;D2,HQ,D7,D9"
1571375435,0,4,0,"C8,C4,C7,C2;CA,CK,CJ,C3;C9,SA,C5,C6;S7,S3,S4,S5;S2,S6,HA,S9;HJ,H7,H4,H3;H10,H6,H9,H8;DJ,D9,D8,D4;HK,SQ,SK,H2;C10,SJ,H5,HQ;D6,DK,D10,D2;DA,DQ,S8,S10;CQ,D5,D3,D7"
1571375435,0,20,0,"CK,C5,C10,C2;C3,C4,C6,C8;D2,DJ,D10,D5;S5,SK,SJ,S4;DQ,D7,D3,D6;S6,SA,S3,S9;S2,C7,CA,S7;SQ,H10,D9,S8;D4,H6,S10,DK;D8,H5,HK,DA;H4,CQ,HQ,H8;HA,H2,CJ,H7;H3,C9,HJ,H9"
1571375435,0,13,0,"CJ,C10,CK,C2;C6,C4,CQ,C8;SQ,SJ,S2,S6;DQ,DK,DA,D5;SA,S5,S4,S7;D2,D4,D9,D6;SK,C3,CA,C9;HK,S9,D3,S10;H6,H7,H8,H2;HQ,H5,H10,H4;DJ,D7,H9,H3;HA,D10,S8,C5;HJ,D8,S3,C7"
