1571713122,0,7,3,"CJ,CK,C9,C2;S5,SQ,S10,S6;C5,C7,C3,C4;S2,SA,S8,SJ;SK,CQ,C8,C6;HJ,CA,HA,C10;H2,H3,H8,H4;DA,S9,HQ,S3;H5,DQ,D10,H6;H7,DK,DJ,H9;D8,D3,D7,H10;D9,S7,D4,HK;D2,S4,D5,D6"
1571713122,0,1,3,"C8,CK,CA,C2;S2,S4,S6,S3;C3,C4,C7,CJ;D4,D6,D5,D2;S7,SQ,S5,S8;D8,D7,DJ,D3;D9,S10,H9,D10;H2,H5,H4,H3;H6,H8,HA,H10;HK,H7,SK,DQ;HJ,CQ,HQ,DK;C6,C10,SJ,DA;C9,C5,S9,SA"
1571713122,0,0,3,"CK,CQ,CJ,C2;C3,C10,C9,C6;D10,D5,D4,D6;S5,S7,S3,S8;S6,SA,S2,S9;D7,DA,D9,D2;S4,HA,SQ,S10;H2,H4,H3,H5;H7,HK,H9,H6;D3,DJ,CA,D8;H10,SK,C5,H8;SJ,C4,HJ,HQ;DK,C7,DQ,C8"
1571713122,0,9,3,"C7,C10,CA,C2;SQ,D5,D2,D3;S5,HA,S3,S4;CJ,C3,SJ,C4;H4,H3,H7,H2;D9,SA,D4,D6;HJ,H6,HK,H5;DJ,CK,D10,D7;C5,H8,SK,H9;S10,HQ,DA,C6;S8,H10,D8,C8;S6,DQ,S9,C9;S2,DK,S7,CQ"
1571713122,0,0,3,"CQ,CA,C10,C2;S5,S3,S2,SJ;C6,C5,C4,C3;D4,D9,D3,D2;D5,D7,DK,DJ;S9,HA,S8,S4;C8,SQ,CK,C7;SA,H9,S10,S6;H8,DA,S7,C9;H2,HK,DQ,CJ;D8,H5,HJ,SK;D10,H4,H6,H7;D6,H3,H10,HQ"
1571713122,0,16,3,"CK,C7,CQ,C2;S3,S5,SQ,S6;C4,C3,C5,C9;C6,SK,C8,CA;D6,D4,D2,D3;H2,C10,SA,CJ;SJ,H10,H6,H3;HA,H9,S2,S4;DA,H8,S7,S10;D7,DJ,D10,D8;DK,HJ,H5,H4;HK,H7,S8,HQ;DQ,S9,D9,D5"
1571713122,0,0,3,"C9,CA,CJ,C2;S4,S2,S3,S10;S5,S9,S6,SJ;C5,C7,C6,C3;C8,CK,C4,C10;SA,SQ,S8,CQ;D2,D3,D8,D7;D9,D4,D6,D10;DA,D5,DJ,DQ;S7,SK,HJ,DK;H2,H7,H5,H3;H4,H10,H6,HQ;H8,H9,HK,HA"
1571713122,0,4,3,"CQ,CA,CK,C2;D2,D3,D4,D7;D5,D6,SQ,D9;D8,D10,SA,DJ;C8,C3,C5,C4;S2,S6,S3,S4;S5,S10,S7,S8;DA,SJ,SK,DQ;HK,H9,HA,S9;H2,H8,H3,H5;H4,H6,HJ,H7;C6,CJ,HQ,C7;DK,C10,C9,H10"
1571713122,0,11,3,"CA,CQ,CK,C2;S5,S6,S3,S4;C5,C8,C3,C4;S9,S8,S7,SJ;D2,D5,D6,D3;C9,CJ,SK,C10;D7,D8,DK,D4;SA,DA,SQ,C6;HA,HK,S2,C7;H8,H3,H4,H2;HQ,H10,HJ,S10;H7,D10,H9,DJ;H5,D9,H6,DQ"
1571713122,0,0,3,"CQ,CK,C5,C2;S5,S3,S6,S4;C3,C4,C8,C6;CJ,C9,SK,CA;D8,D9,DQ,D2;S7,SQ,S8,S9;C7,HA,SA,C10;DJ,S10,D5,D6;HQ,S2,DA,SJ;H7,D3,D10,DK;H2,H3,H10,H6;HJ,H5,D4,D7;H9,H4,H8,HK"
1571713122,0,2,3,"CJ,CQ,C9,C2;D3,D8,D2,D4;D6,SK,D9,D7;S8,S3,S2,S4;D5,HA,DJ,D10;SQ,S5,S6,S7;DQ,HQ,SJ,DK;C5,C3,HJ,C6;C10,C4,H9,C7;C8,H8,SA,DA;H2,H3,HK,H6;H10,S10,H5,CK;H7,S9,H4,CA"
