1571992400,0,17,1,"CQ,C8,CJ,C2;SQ,S6,S3,S2;C5,CA,C3,C4;S4,SA,S7,S5;SK,CK,C7,C6;HJ,HA,S8,S9;H6,DA,H10,S10;H5,HK,H9,SJ;C10,H4,DQ,H2;D10,H3,C9,H7;D6,D9,D3,D4;DJ,DK,D5,H8;D7,D8,D2,HQ"
1571992400,0,0,1,"CA,CK,C7,C2;C3,C6,C9,C10;CJ,SA,C8,CQ;D9,D10,DJ,D2;S5,S7,S3,S2;DK,H8,D5,D3;H5,H2,H9,H3;HA,H4,D7,D4;SK,H7,C5,H10;D6,HK,C4,D8;DQ,HQ,SJ,DA;S6,HJ,S4,S8;S10,H6,S9,SQ"
1571992400,0,0,1,"CA,CJ,C10,C2;C8,C4,C5,C3;C7,CK,CQ,C9;S9,S10,S2,S4;D5,D2,D3,D4;SJ,SQ,SK,S6;HA,D7,D9,D8;H6,H4,H3,H5;H2,H7,SA,H8;H9,HJ,S8,H10;S3,DA,S7,S5;DQ,DK,HK,HQ;C6,D6,D10,DJ"
1571992400,0,19,1,"C9,CK,C5,C2;S10,S8,SJ,S2;C6,SA,C7,C3;D7,D4,D2,D5;C8,DA,CQ,C4;D10,D9,D8,DJ;SK,H10,HK,C10;H8,H9,H5,H2;S5,SQ,HA,S6;H3,S9,H4,H6;H7,S7,HQ,HJ;CA,DK,D6,S3;CJ,DQ,D3,S4"
1571992400,0,11,1,"CK,CA,C10,C2;D10,DJ,D9,DQ;C8,C9,C4,C6;C3,CQ,C7,CJ;S9,SK,SA,S4;SQ,D7,D5,D6;S2,DA,S6,S3;HA,S7,D8,S5;HQ,HK,DK,D2;H6,H4,H5,H3;H9,SJ,C5,D3;H7,S10,H8,H10;H2,S8,HJ,D4"
1571992400,0,0,1,"CQ,C10,CK,C2;S3,S5,S6,S7;SJ,SK,S8,S10;D9,D2,D3,D4;DQ,D7,DK,DA;HQ,S9,HK,S2;HJ,H9,H10,H3;SQ,D6,CA,D5;C5,D8,SA,D10;H8,C8,HA,DJ;H7,C6,S4,C7;H6,C4,H5,C9;H4,C3,H2,CJ"
1571992400,0,0,1,"CA,CQ,CK,C2;S4,S2,S5,S6;S9,S8,S3,S7;D6,D7,D5,D2;DQ,D8,D10,DJ;SA,SQ,C6,C3;H7,DA,D9,DK;H10,SK,H5,S10;CJ,H9,H3,H4;H6,HA,C9,SJ;H2,HJ,C8,H8;C5,HK,D4,C7;C4,HQ,D3,C10"
1571992400,0,21,1,"C5,CQ,CA,C2;S7,S6,S8,S5;D8,D5,D9,D10;C7,C9,C4,C3;H10,CJ,C10,CK;H4,H2,H3,H5;D2,SA,D6,D3;SQ,SJ,SK,S9;HA,DA,S2,C6;H7,DQ,H9,C8;H6,S10,H8,HJ;D7,S4,DK,HQ;D4,S3,DJ,HK"
1571992400,0,6,1,"CA,C9,CK,C2;C7,C5,C3,C4;S5,S8,S3,S2;C8,HA,CJ,C6;H5,H4,H7,H2;SQ,SK,S9,S4;SA,H6,H8,H3;HQ,DA,H10,H9;S10,SJ,C10,CQ;D4,D5,D9,D6;D10,S7,S6,HJ;D8,D3,DK,HK;D7,D2,DJ,DQ"
1571992400,0,8,1,"C8,CQ,CJ,C2;D6,D8,D4,D2;D7,SK,D9,D10;C3,C9,C7,C10;SQ,C5,C6,CK;DA,H8,C4,CA;S5,S7,S2,S4;S9,S6,S3,S8;H7,H9,H2,H3;H5,DJ,SA,D3;H6,HJ,H4,H10;SJ,DK,HK,HQ;DQ,S10,D5,HA"
1571992400,0,0,1,"CJ,CK,C10,C2;S8,S6,S9,S2;C7,C8,CA,C5;HA,S5,S7,S3;H9,H8,H10,H3;D2,D5,D8,D3;HJ,H5,H2,H4;SQ,H7,H6,HQ;SA,CQ,DA,HK;D9,D4,D7,D10;SK,SJ,C9,C3;C6,DJ,S10,D6;S4,DQ,C4,DK"
1571992400,0,11,1,"CK,CQ,C9,C2;S4,S8,DA,S5;D6,D5,D3,D7;D10,D4,D2,D8;DJ,D9,DK,DQ;CA,S9,S10,SJ;H6,S7,SQ,SK;H4,H9,H5,H7;S3,HA,H3,S6;SA,H8,H2,H10;C5,HK,C7,C3;C8,C4,HQ,C6;S2,HJ,C10,CJ"
1571992400,0,8,1,"C9,CK,CA,C2;C5,C6,C4,C3;S5,S7,S9,S2;S8,S10,S6,SJ;C8,CJ,CQ,C10;D8,D5,D2,D6;D4,DQ,D9,D7;SQ,HA,DA,C7;H7,H9,HJ,H2;SA,D10,H8,S3;H6,H4,HQ,H5;SK,HK,DK,S4;H3,DJ,D3,H10"
