1570446476,1,17,3,"C6,CA,CK,C2;DA,DQ,D5,D4;C10,C5,C4,C9;SK,S3,S8,S7;HQ,C8,C7,C3;HK,D2,DJ,D3;D8,H10,HA,HJ;H8,S2,H5,H3;S10,S4,S6,SQ;D6,H7,H9,H4;H6,D9,CJ,CQ;D7,SA,SJ,D10;DK,S9,H2,S5"
1570446476,1,1,3,"CA,C7,C5,C2;DA,SA,S8,S4;S7,S6,H3,S3;DQ,D6,D2,D8;C6,CQ,CK,C8;D10,D7,H2,D3;HJ,SJ,S9,S5;C4,HQ,H7,H6;D4,H8,DJ,DK;H9,H4,S2,SQ;D5,C9,CJ,D9;H10,H5,SK,HA;C3,HK,S10,C10"
1570446476,1,4,3,"CA,C5,CQ,C2;S8,SJ,S9,S2;S7,SK,DQ,S4;C10,C8,CK,C3;C9,H7,CJ,C6;S5,S6,DA,S3;H4,H9,H6,HJ;D6,HK,H3,H5;D2,H10,D3,D10;D9,HA,DJ,D8;D5,H2,C4,D4;SQ,H8,D7,HQ;S10,SA,DK,C7"
1570446476,1,20,3,"C5,C7,CK,C2;C10,S4,CQ,C8;D7,D2,D3,D8;SA,S5,S9,SK;S2,S6,SJ,SQ;DJ,D5,DK,D6;S8,C4,S3,S10;HQ,CJ,HJ,S7;H4,H5,H7,H2;H6,HA,C9,HK;D4,DQ,D10,D9;H3,H9,C3,H8;CA,H10,C6,DA"
1570446476,1,4,3,"C6,CQ,C5,C2;S8,S2,SJ,S5;DJ,DA,D4,D10;D5,H10,DK,D6;H7,H4,HJ,H3;S3,S4,SQ,S7;CJ,C10,C3,C9;H5,HQ,D8,H6;C8,S9,HK,SK;D7,SA,H2,S10;D9,D2,CA,CK;H8,H9,D3,DQ;C4,HA,S6,C7"
1570446476,1,2,3,"C10,C8,CK,C2;DA,D5,D10,D7;S8,SK,SJ,SQ;C4,C6,CA,C5;SA,H3,S2,S10;D4,DQ,DK,D6;H8,HA,HJ,H4;D2,HK,DJ,D9;H2,H5,H10,HQ;D3,H9,S7,H6;S3,S6,C9,S5;CJ,C3,S9,CQ;C7,H7,S4,D8"
1570446476,1,0,3,"C3,CJ,C8,C2;D8,D9,D5,D6;DA,DQ,S5,D2;S4,S8,S3,SJ;C7,C5,C10,CA;C9,H10,C4,CQ;HK,H4,H9,H2;H7,H8,HJ,HQ;S6,D10,H5,D3;H6,D4,S7,DJ;CK,HA,SA,D7;S10,S2,S9,SK;C6,H3,SQ,DK"
1570446476,1,13,3,"C4,C9,C6,C2;D3,DJ,D9,D8;S7,S3,SJ,S10;S6,SA,SK,S4;D2,DA,D6,D4;CA,C8,H10,C7;H7,HA,C3,C5;H6,D7,CQ,CJ;S5,SQ,S2,S8;HQ,H2,HJ,H5;S9,CK,DQ,DK;H3,H8,H9,HK;H4,C10,D5,D10"
1570446476,1,0,3,"C4,C8,CQ,C2;SJ,S6,SQ,S10;S5,SK,S3,SA;D10,D8,DA,D9;H3,CA,C5,C6;DK,HA,H4,HK;D5,D2,D6,D4;C10,HQ,H7,C9;H8,H10,C3,H5;S7,S2,S8,S9;C7,D3,H2,H9;CK,DJ,D7,S4;CJ,DQ,HJ,H6"
1570446476,1,17,3,"C5,CJ,C8,C2;S6,S3,SA,SQ;D10,D7,D2,D8;S8,S4,SK,S7;D9,D4,DQ,D5;C3,CA,C10,C7;DK,H5,D6,D3;HQ,HK,H10,H4;H2,HJ,H3,H8;H6,SJ,HA,H9;C4,S5,S2,S9;CK,C9,CQ,S10;H7,C6,DJ,DA"
1570446476,1,5,3,"C6,CA,CJ,C2;S7,S2,SK,S6;D10,D7,D5,D9;C9,C8,C7,CQ;DA,C3,HK,CK;H7,H9,H6,H4;DK,H2,D8,D2;SQ,S4,S3,S8;H10,H8,HA,HQ;H3,D4,DQ,D3;S9,C10,S5,S10;SJ,C5,D6,SA;HJ,C4,H5,DJ"
1570446476,1,2,3,"C6,C5,C10,C2;S7,S6,S3,S4;D6,D10,D7,D5;D3,D8,SK,DA;H4,D9,S5,DJ;H3,HK,H5,HQ;CQ,CJ,C9,C4;S10,SA,DQ,S2;HA,H7,H9,HJ;C3,CK,C7,CA;SJ,D4,H2,D2;H10,C8,SQ,H6;DK,S8,H8,S9"
