1570638995,1,0,3,"C5,C6,C8,C2;C9,CA,CK,C7;S8,SA,S5,S3;S2,S9,S6,S7;CJ,D6,C4,C3;DA,D4,D5,D3;SK,H2,SQ,S10;H10,S4,D2,SJ;H4,H3,H5,H6;C10,H8,HJ,H9;HA,D9,HK,H7;DJ,D7,D8,HQ;CQ,D10,DK,DQ"
1570638995,1,14,3,"C4,C9,C8,C2;H5,CK,C7,C3;SQ,S2,D7,S3;SA,H6,SJ,S7;HQ,HA,HK,H2;S10,SK,HJ,S6;H7,S9,DQ,S4;D2,S5,D8,S8;C10,C6,H3,C5;CJ,D10,CQ,CA;H10,D5,D9,D3;D4,H4,D6,DK;DJ,H8,H9,DA"
1570638995,1,6,3,"CQ,C10,C4,C2;SQ,S8,SK,S4;SJ,S2,SA,S7;D4,S9,S6,S3;H4,D9,D5,D7;H9,H2,S10,S5;HQ,H6,HK,H7;HA,H8,H3,H10;C6,C5,DQ,C3;D6,HJ,C9,H5;CJ,D2,D10,D8;DK,C7,CK,CA;DJ,C8,D3,DA"
1570638995,1,23,3,"C7,C4,C9,C2;C8,CQ,C5,C6;S4,C10,CA,C3;S8,S6,S5,S2;H3,CK,H10,CJ;H4,HA,H6,H2;D5,H8,H5,H9;S7,H7,HJ,HQ;DK,DQ,DJ,D8;D10,D3,D9,D6;S3,S10,S9,HK;D2,DA,D7,D4;SQ,SK,SJ,SA"
1570638995,1,5,3,"C6,C5,C10,C2;CJ,C7,D9,CA;DJ,D4,DK,D2;D8,DA,S5,D3;S7,S9,SJ,S2;C3,H9,D7,D5;H5,HQ,HA,H2;SK,SA,S8,S6;S4,S10,SQ,S3;HK,HJ,CQ,H3;H7,C8,H4,H6;C4,D10,H8,H10;C9,D6,DQ,CK"
1570638995,1,16,3,"C10,CQ,CA,C2;S2,S10,SQ,S5;C6,C8,C9,C7;SA,S6,S3,S8;SJ,S9,DJ,S4;C4,CJ,CK,C3;D9,D8,D4,D3;HA,HQ,DA,C5;H2,H9,H5,H3;D7,DQ,SK,D2;H8,HK,H10,H4;D10,HJ,H7,D5;H6,S7,D6,DK"
1570638995,1,1,3,"C7,CA,C5,C2;DK,C9,CJ,C3;SQ,SJ,S5,S3;D6,D9,DQ,D2;D7,H6,C10,C4;H9,HK,HQ,H5;H8,D3,HJ,H2;H3,H10,S4,H4;SA,D4,S9,S2;CK,SK,S8,S7;S10,DJ,CQ,S6;C6,D5,HA,H7;D8,C8,D10,DA"
1570638995,1,2,3,"C8,CA,CK,C2;C10,C4,C9,C6;D3,D4,D2,D9;DA,D6,DJ,DK;S3,SA,S6,S4;SQ,S8,S7,S2;S5,D7,SJ,SK;HA,HJ,H2,H3;H8,S10,H7,S9;HK,H5,H10,H4;D10,C5,CJ,H6;C7,D5,CQ,H9;C3,D8,DQ,HQ"
1570638995,1,1,3,"C5,C4,C9,C2;SA,S2,S3,S6;C7,CA,C6,C8;C10,CQ,D5,C3;H2,HQ,CK,CJ;HA,H3,H8,H4;S10,H6,H9,H7;HK,D10,D8,H5;DQ,DA,D9,D2;H10,SQ,S8,S4;S5,S9,D4,S7;HJ,D3,DJ,SJ;D6,D7,DK,SK"
1570638995,1,0,3,"C8,CA,C4,C2;D2,D4,DJ,D5;SQ,S5,S4,S7;CK,C5,C6,C3;S10,S8,S3,SJ;DA,D7,H3,D6;H5,SA,HJ,S2;H9,CQ,CJ,C7;H4,S6,D9,D3;HK,H6,HA,H7;H8,DK,C9,C10;HQ,D10,H10,S9;DQ,D8,H2,SK"
1570638995,1,0,3,"C5,C6,CK,C2;C7,C8,C10,C4;S10,S8,S3,S6;D2,C9,C3,CJ;D8,D5,D4,D3;DJ,DA,DK,D6;SQ,S9,S4,SJ;D10,H8,D7,D9;H7,H2,HJ,H3;H4,H5,HA,H9;S5,S2,H6,HQ;S7,SK,H10,HK;SA,DQ,CQ,CA"
