1571133968,1,13,2,"CA,C7,C5,C2;S9,SK,SA,S2;S8,SQ,S7,S3;HA,S4,S10,S6;H3,H6,HK,H5;DA,SJ,DJ,S5;D7,HJ,H10,H2;C3,H9,CJ,C8;D8,DK,D5,D4;D3,C10,CK,C4;D9,H8,CQ,D6;H7,C9,D10,D2;DQ,H4,C6,HQ"
1571133968,1,4,2,"C10,CA,C5,C2;C6,CK,CQ,C3;C8,C9,SA,C7;HQ,SQ,CJ,C4;SK,S3,S4,S5;S6,S9,SJ,S2;DQ,D7,D9,D2;S10,D5,DA,S7;HK,HJ,HA,S8;H4,H6,H7,H3;D6,H10,DJ,D4;DK,H5,H9,H8;D3,D10,D8,H2"
1571133968,1,22,2,"C10,CK,C4,C2;C3,C8,CJ,C5;S4,S7,S5,S6;S3,S9,SA,S10;D8,DK,D7,D2;SJ,SK,HA,S8;H7,H5,HJ,H2;HK,H8,H3,H6;H4,DQ,DA,H10;H9,D10,CA,HQ;D3,D9,D6,DJ;C9,D5,CQ,S2;C7,D4,C6,SQ"
1571133968,1,0,2,"C9,C10,C8,C2;S3,SJ,SQ,S2;CA,C4,C3,C6;SK,S9,S6,S4;HK,C7,CQ,CJ;HA,HJ,SA,S5;S10,DA,H8,S7;H6,H7,H10,H2;H9,HQ,DK,S8;CK,H5,DQ,H3;D4,D5,D3,D7;D6,D10,D2,D8;C5,DJ,D9,H4"
1571133968,1,9,2,"CA,C4,C5,C2;C9,C7,CQ,C8;S5,SQ,S3,S7;S9,C6,S2,S6;HK,C10,C3,CK;DK,D7,D8,D5;H4,H8,HA,H2;H9,H7,HQ,H6;SA,H5,SK,S8;DQ,CJ,H3,H10;D10,S4,DJ,HJ;D4,D9,SJ,D6;S10,DA,D2,D3"
1571133968,1,16,2,"C8,CA,C5,C2;D3,DQ,DA,D2;SK,S3,S10,S2;D9,D4,DJ,D6;SA,SQ,HA,S7;S6,CQ,SJ,S4;H10,HJ,H3,H2;HK,DK,S8,S5;S9,D8,H9,D10;CK,H8,C4,C3;H4,H6,C9,H5;C6,HQ,D7,C10;C7,H7,D5,CJ"
1571133968,1,0,2,"C6,CK,C7,C2;S2,S5,SQ,S10;CA,C8,C4,C5;S9,S7,SA,SJ;HQ,S4,HA,S3;HK,CJ,C10,C3;CQ,SK,H10,S8;H9,HJ,H6,S6;H8,H5,H3,C9;D3,D6,DK,D4;D5,D8,D2,D7;H4,DJ,DA,H2;D10,DQ,H7,D9"
1571133968,1,4,2,"C3,CJ,CK,C2;C4,C5,C6,C8;CQ,C9,C7,CA;D8,DA,DK,D3;HA,S5,SJ,S2;H3,HJ,H7,H2;D6,SQ,HK,D2;H5,HQ,DQ,H4;DJ,S10,SK,S3;H8,D10,SA,H6;D9,S4,C10,S7;D7,S6,H10,S8;D5,D4,H9,S9"
1571133968,1,13,2,"C5,C3,C9,C2;C4,C8,CA,C7;SK,SJ,S6,S2;SQ,SA,S5,S3;CJ,HJ,CQ,C10;HA,S8,S9,S7;S10,D9,DA,S4;H7,HK,H9,C6;H6,H10,H8,CK;H5,D6,D10,D2;D4,H4,DQ,D5;DJ,D8,H3,D3;HQ,H2,DK,D7"
1571133968,1,6,2,"C8,C6,C7,C2;C10,C3,C9,C5;D9,D8,D2,D4;DJ,D5,DQ,D3;SK,D6,SA,D7;HA,D10,CJ,DK;CA,CQ,HK,DA;S6,S9,S10,S2;S3,HJ,S8,S4;H4,H7,H2,H3;H9,H8,H5,H6;HQ,S7,SQ,C4;H10,S5,SJ,CK"
1571133968,1,1,2,"C9,C8,C5,C2;D7,DK,DQ,D4;DJ,D5,D8,DA;C3,SA,CA,C4;SQ,S2,S4,S9;C7,D10,CJ,C6;HQ,S8,S6,S10;H3,HA,H5,H2;S3,H8,C10,CQ;HK,D9,CK,S5;H9,D6,HJ,S7;H7,D3,H10,SJ;H4,D2,H6,SK"
