1571490032,1,15,0,"CQ,CK,CA,C2;C4,C9,C6,C3;SK,C7,C5,CJ;D2,D7,D6,D3;DQ,D5,D4,D9;S2,S4,S5,S10;SA,DA,SQ,C8;DK,H6,HA,C10;H8,H5,H4,H2;S7,S8,HQ,S3;H3,H10,SJ,H9;DJ,HK,HJ,S6;D8,D10,H7,S9"
1571490032,1,14,0,"CA,CQ,CK,C2;S3,S2,S6,S4;C5,C3,C4,C7;C6,C9,C10,C8;SQ,DA,HA,CJ;H10,H3,H5,H2;D10,D7,D3,D2;S5,HJ,S7,SJ;H9,H4,SA,H7;H8,S8,HQ,S9;H6,SK,DQ,S10;D8,DK,D6,D4;DJ,D5,D9,HK"
1571490032,1,13,0,"CA,CQ,CK,C2;C3,C5,C6,C4;S10,S2,S3,S5;C8,C10,DA,C7;DJ,SQ,CJ,C9;SJ,S7,HA,S4;HQ,D4,D2,D9;H9,D3,D5,DK;S6,D8,H8,S9;S8,HJ,DQ,SK;H5,H10,D10,SA;H2,H3,D7,H7;H4,H6,D6,HK"
1571490032,1,0,0,"CA,C8,CK,C2;D5,D4,D9,D2;S3,S5,SA,S2;DA,D3,D6,D7;SQ,S4,HA,S6;S10,D8,S7,SJ;H6,H4,H9,H2;HJ,SK,HQ,S8;H7,S9,H5,H8;C10,DK,H10,HK;C3,C7,C4,C6;CQ,DJ,C9,CJ;D10,C5,DQ,H3"
1571490032,1,22,0,"CA,CQ,CJ,C2;S3,S2,HJ,S8;S5,S4,H4,S10;C9,C6,C4,C7;H8,H3,H7,H5;C3,DA,SQ,C5;D2,D3,DJ,D6;HA,H2,H10,H6;D4,D7,SK,D8;D9,D5,HQ,DQ;CK,HK,SJ,S6;S7,C10,DK,S9;SA,C8,D10,H9"
1571490032,1,11,0,"CK,CA,C10,C2;C3,C4,C6,C9;D2,D6,D4,D3;S2,S6,S3,S5;D9,D5,D8,D7;HA,S9,S8,S4;SQ,DJ,DA,DQ;H6,H3,HJ,H4;HQ,SK,S10,S7;SA,SJ,C7,C5;H10,H2,HK,H5;CJ,CQ,H9,D10;H8,C8,H7,DK"
1571490032,1,0,0,"CJ,CA,CQ,C2;S3,S4,S9,S5;C9,C3,C4,C6;S2,S8,SK,S6;C8,C5,C10,C7;D4,D7,D2,D6;HA,S10,SQ,S7;H2,H4,H7,H5;HK,SJ,DA,CK;DK,H6,H9,SA;DJ,H3,H8,H10;D10,DQ,D9,HJ;D3,D8,D5,HQ"
1571490032,1,4,0,"CA,CJ,CK,C2;S5,S10,S2,S6;C6,C3,C4,C9;SK,C7,C10,CQ;D3,D2,D4,D5;DJ,D8,D9,D6;DQ,S3,SA,S7;DK,HK,D10,D7;H10,S4,SQ,S8;H4,H3,H2,H6;DA,H5,H7,H8;SJ,C8,HJ,H9;HQ,S9,C5,HA"
1571490032,1,13,0,"CQ,CK,CA,C2;S2,S5,S3,S4;D10,D2,D3,D4;C3,C6,C5,C8;D8,D5,D6,DJ;D9,DA,SK,DK;C7,SA,C9,CJ;S6,S9,S7,SQ;H7,H2,H4,H5;S10,S8,HA,SJ;HQ,H6,HK,C4;H9,DQ,H10,C10;H3,D7,H8,HJ"
1571490032,1,0,0,"C10,CA,CK,C2;S2,S8,S4,S3;S9,S5,SJ,S10;C4,C3,C7,CJ;C8,C5,C9,CQ;D5,D9,D2,D3;D6,D7,D8,DQ;DJ,DA,C6,DK;HK,SQ,S6,SK;H2,H5,H8,H3;SA,H10,S7,D4;HQ,H9,HJ,D10;H6,H7,H4,HA"
1571490032,1,0,0,"CA,CQ,CJ,C2;C4,C8,C9,C3;C6,C5,SA,CK;D7,D4,D3,D5;C7,HA,SQ,C10;H3,H4,H7,H2;S7,S3,S5,S4;H5,H9,H8,H6;S8,S9,S2,SJ;HK,SK,HJ,H10;S10,HQ,D10,S6;D8,D6,DA,D9;DQ,DJ,D2,DK"
1571490032,1,0,0,"CQ,CK,CA,C2;S6,S7,S5,S2;C7,C5,C3,C4;S10,SA,S9,S3;C10,C9,C8,C6;D9,D2,D3,D7;SJ,H9,SQ,S4;H3,H7,H2,H5;H8,SK,S8,CJ;D5,D10,HQ,D4;H6,HK,DQ,H10;DJ,DA,HJ,HA;D6,D8,H4,DK"
1571490032,1,5,0,"C5,CA,CQ,C2;C7,C6,C3,C4;C9,H9,C10,C8;D4,D10,D2,D3;H8,H10,H3,H5;DQ,DA,D5,D8;D9,HK,H6,H7;DJ,SQ,D6,DK;HA,S7,S2,S4;D7,SK,CJ,CK;S3,S6,HJ,S8;S10,SJ,H2,HQ;S9,S5,H4,SA"
