1570691562,2,9,2,"C5,C4,CQ,C2;D10,D2,D7,D6;DA,D8,DJ,D4;S9,S3,S8,S2;SK,SA,S6,S4;CJ,H5,C3,C6;S7,H3,SQ,S5;H10,HQ,H2,H7;C8,HJ,SJ,S10;D5,H6,HA,D3;H4,H8,C7,HK;C10,C9,DK,D9;DQ,H9,CK,CA"
1570691562,2,3,2,"C4,C9,C10,C2;DA,DJ,D2,D10;C7,C3,CJ,C5;S4,CQ,C6,C8;SJ,CA,S6,CK;SA,H5,S2,S5;H7,DK,H9,H2;H8,HA,D4,H4;D5,SK,HK,D3;S10,SQ,DQ,S3;D6,D8,H6,H3;HJ,D9,S8,S7;H10,HQ,D7,S9"
1570691562,2,7,2,"C7,C5,CK,C2;C6,C9,C4,C8;S9,S5,CA,CJ;S7,SQ,SJ,S6;SA,DA,SK,S8;H7,S2,S10,S3;H5,H9,H8,H2;D10,D6,D7,D8;H10,D4,HJ,H4;DQ,D3,D9,DJ;H3,D2,C3,H6;HK,D5,CQ,HA;HQ,S4,C10,DK"
1570691562,2,13,2,"C8,C3,C7,C2;SK,SA,S10,S2;SQ,S3,S9,S4;S8,SJ,S5,S6;D6,D10,DJ,DK;C6,CK,C5,C4;D4,CQ,DQ,D5;H4,H5,H7,D2;HK,H6,H10,D3;C10,S7,H2,D7;H3,H8,HJ,D8;H9,HQ,HA,D9;C9,CA,CJ,DA"
1570691562,2,16,2,"C3,CA,CJ,C2;C6,C10,C5,C4;S8,SK,SQ,S3;SA,S10,SJ,S2;D9,DQ,D6,D2;S9,HA,S6,S5;D5,C7,H9,S4;D3,C9,H4,S7;HQ,CQ,H3,C8;HK,H8,H6,H5;DJ,D4,H7,H2;HJ,D10,DA,H10;D8,D7,CK,DK"
1570691562,2,1,2,"CA,CK,C7,C2;H8,C4,CQ,C3;SQ,S10,S3,S2;HJ,H9,H7,H3;SJ,S4,SK,S6;S8,SA,S5,S7;C5,H5,DJ,S9;H2,HA,H4,H6;H10,HQ,D6,HK;DQ,CJ,C10,C9;C8,D4,D8,C6;D5,DK,D7,D9;D2,DA,D10,D3"
1570691562,2,4,2,"CA,CJ,C9,C2;S4,SQ,S3,S2;C5,S7,C8,C4;SA,SK,S9,S8;HA,S5,SJ,S6;H9,HJ,H2,H4;HQ,H5,H10,H6;D3,D6,CQ,S10;HK,H3,H7,H8;C10,C7,DQ,C3;CK,D8,D5,C6;D4,D2,D7,D9;DJ,DK,DA,D10"
1570691562,2,16,2,"CK,CJ,C6,C2;D5,D3,S10,D4;D2,S3,D6,DJ;CA,C7,H5,C8;S2,SK,S4,S7;H9,HA,H7,H3;SA,D7,SQ,S8;H8,H6,SJ,H4;H10,S9,HQ,HJ;HK,C10,C3,C4;DA,C5,D10,S5;DK,C9,DQ,S6;D9,CQ,D8,H2"
1570691562,2,16,2,"C3,CA,C5,C2;S6,SQ,S9,S3;C8,C4,C10,C7;SA,S5,S4,S8;C6,D7,CQ,C9;SK,S2,S7,SJ;H8,H3,DA,S10;H6,H10,HA,H2;H5,H9,H4,H7;DK,CJ,D2,CK;D5,HJ,D9,D3;D4,DJ,HQ,D6;HK,D10,DQ,D8"
1570691562,2,14,2,"C10,C5,C9,C2;DQ,D10,D4,D5;D8,D6,DJ,D3;CJ,CQ,C3,C8;S4,S7,S6,S9;SK,S10,S8,SJ;SQ,SA,H6,S2;H10,HQ,H2,H4;HA,H8,H3,H5;H9,D7,C4,S3;D9,D2,C6,S5;C7,DK,HJ,CK;HK,DA,H7,CA"
1570691562,2,1,2,"C9,CK,C3,C2;SQ,S6,S4,S3;C10,CJ,C5,C6;D2,SA,SK,S5;S8,S7,D3,S2;D9,D5,S9,SJ;D4,D6,DJ,D8;H5,C4,HJ,S10;H9,H3,HA,H4;HQ,H7,C7,H2;H6,CQ,HK,H8;D7,DA,DQ,D10;CA,DK,C8,H10"
