1571133987,2,8,0,"CA,CK,C9,C2;SA,SQ,S9,S6;CJ,CQ,C4,C5;HA,S3,S2,S4;DA,SK,S10,S8;HK,SJ,HQ,S5;H4,S7,HJ,H5;H8,H7,C6,H2;C3,DK,H10,C7;C8,D9,H9,C10;D10,D7,D3,D8;D6,H3,DQ,H6;D5,D4,DJ,D2"
1571133987,2,4,0,"CQ,CK,C5,C2;SQ,S8,S3,S2;C8,C10,HA,C6;H4,H6,H8,H2;SA,S4,SK,SJ;S5,S7,HK,S6;HQ,CA,S10,S9;H7,D9,H9,H3;H5,HJ,D2,H10;C9,DK,DA,CJ;C7,D6,DQ,D3;DJ,C4,D4,D8;C3,D5,D10,D7"
1571133987,2,7,0,"CA,CK,CJ,C2;SJ,SA,S2,S8;S7,S10,S9,S5;DJ,D5,D8,D2;DQ,D7,D6,D9;S3,HA,SQ,S6;D3,D4,DA,D10;H8,HK,H7,H2;S4,H3,H9,H4;CQ,C7,DK,C3;C9,HQ,SK,H5;C8,HJ,C5,H6;C4,H10,C6,C10"
1571133987,2,0,0,"C5,CQ,CJ,C2;C10,C7,C8,C3;CA,SA,C9,C4;S2,S5,S3,S7;S4,SK,SQ,S8;CK,S9,HK,S6;H8,SJ,HQ,S10;DK,D4,DJ,D7;H5,H3,H9,H4;D10,D2,D5,D8;H10,H2,HA,H6;D9,C6,D6,DQ;HJ,H7,D3,DA"
1571133987,2,1,0,"C7,CA,C3,C2;CJ,C10,CQ,C5;D9,DA,D4,D6;D10,SQ,DQ,D7;SK,D3,HQ,D2;S7,S5,S8,S4;HK,S2,SA,S3;C9,D5,S6,D8;H4,DJ,H10,DK;H2,H5,H9,H6;HJ,SJ,H8,H3;S10,CK,C8,H7;S9,C6,C4,HA"
1571133987,2,11,0,"C6,C10,C4,C2;CA,C5,C7,C8;S6,SA,S4,S7;SK,S9,SJ,S2;C3,SQ,C9,CJ;D3,D9,DQ,D2;HQ,S10,S5,S8;DA,CQ,H8,CK;D7,D6,D5,D4;H10,D8,HA,S3;H9,H7,HJ,H2;H6,D10,H5,DK;H3,DJ,H4,HK"
1571133987,2,26,0,"C10,C4,C7,C2;C8,CJ,CK,C3;C6,CA,C5,C9;SJ,S3,SK,S2;DQ,D5,DK,D3;D9,D6,DA,D2;S6,S8,S9,S5;HJ,S10,S7,S4;SA,D4,H10,CQ;HQ,H7,H9,SQ;H2,H6,H3,H8;D8,H5,DJ,HK;D7,H4,D10,HA"
1571133987,2,22,0,"C8,C9,C4,C2;SJ,S10,S6,S2;C3,C5,C10,CK;D10,D2,D3,D5;CA,C6,SQ,C7;D6,D9,DA,D4;CQ,H5,HQ,CJ;S4,S7,SA,S3;HA,H4,H6,H2;H3,H7,HJ,H9;HK,S8,S9,H8;DJ,DQ,H10,S5;D8,D7,DK,SK"
1571133987,2,0,0,"CK,C3,C8,C2;DQ,D8,DJ,D5;DK,D10,D7,DA;C7,CA,SQ,C5;HA,C9,C4,C10;H7,HQ,HK,H2;S4,S7,S2,S3;SJ,S5,S8,S10;H10,H8,H3,H4;SA,D9,SK,S6;HJ,H5,D6,D2;D4,H9,CQ,S9;D3,H6,C6,CJ"
1571133987,2,17,0,"CJ,C6,C8,C2;D10,D4,D9,D7;S5,S9,SK,S2;DQ,D2,D3,DJ;S4,S10,SQ,S6;C5,C3,CA,C4;CK,CQ,C9,C7;HA,HK,SA,C10;H8,H3,DA,H2;H10,S3,HQ,S8;H4,S7,HJ,SJ;D6,DK,H5,H6;D5,D8,H9,H7"
1571133987,2,0,0,"C3,C6,C5,C2;C4,C7,C10,C8;SA,S2,S9,S4;S8,SQ,SJ,S3;CJ,HA,CA,CK;H7,H10,HJ,H3;SK,HQ,H8,S6;H2,H4,DA,S5;DQ,CQ,H9,S7;DJ,C9,H5,S10;D9,DK,D10,H6;D5,D7,D8,HK;D2,D6,D4,D3"
