1571410950,2,26,1,"C7,CK,CQ,C2;C8,CJ,C3,C4;C6,C5,C9,C10;DA,SK,SQ,CA;D9,DQ,D6,D2;S4,S2,S6,S7;SJ,S3,S5,S8;D4,DK,DJ,D5;S10,HA,SA,S9;H8,HK,HQ,D3;H7,HJ,H10,D7;H6,H4,H9,D8;H5,H3,H2,D10"
1571410950,2,13,1,"CA,CQ,CJ,C2;S6,S3,S4,S2;C7,C4,C3,C6;C9,C5,C10,C8;D7,D3,D9,D2;S8,S7,SK,S5;DK,D4,D6,D5;SA,SQ,DA,CK;H8,H3,H5,H2;S10,D10,H10,S9;HK,H7,HA,SJ;HJ,H6,D8,DJ;H9,H4,HQ,DQ"
1571410950,2,6,1,"CA,CK,C6,C2;S5,S10,S3,S2;C4,C5,SK,C3;S6,SQ,S8,S7;DJ,D7,D3,D2;DA,D5,D4,D10;S4,HJ,S9,SJ;H3,H5,H6,H2;C7,HA,H7,C8;C10,DK,DQ,C9;H8,D9,SA,H9;H4,D8,CQ,H10;HQ,D6,CJ,HK"
1571410950,2,0,1,"CQ,CA,CJ,C2;C6,C3,C10,C4;D3,D2,D10,D5;D9,D7,D4,DA;SK,C7,C9,C5;S4,S3,S7,S2;D8,SA,HK,D6;S6,S8,SQ,S5;HA,CK,H4,DJ;C8,H9,H2,DQ;H5,H3,SJ,H7;H10,H8,S10,HJ;HQ,H6,S9,DK"
1571410950,2,17,1,"CK,C10,CA,C2;S9,S2,S5,S7;SA,SQ,C3,C5;SK,HK,C6,C7;DA,H10,C4,C8;HQ,H5,CJ,CQ;H7,SJ,H2,H6;S4,S8,HJ,S6;H8,H9,S3,H3;DQ,HA,DK,S10;D6,D10,D2,D3;D5,D8,DJ,H4;D4,D7,D9,C9"
1571410950,2,16,1,"CK,C10,CA,C2;S3,S9,S2,S4;C8,C4,C5,CQ;D6,D3,D2,D5;D4,DJ,D8,D7;SQ,SA,C6,C7;D9,HJ,DA,D10;S5,S8,S6,S7;S10,SJ,SK,DQ;H10,H7,HA,DK;H4,CJ,H2,H6;H5,C9,H8,H9;H3,C3,HK,HQ"
1571410950,2,5,1,"CQ,CK,C10,C2;S2,S6,S3,S10;C7,C3,C8,C4;C5,SQ,C6,C9;D2,D4,D8,D3;S5,CJ,S4,S8;S9,H6,HA,SJ;H8,H2,H4,H3;H5,H7,H9,H10;D5,D6,DQ,D9;SA,DJ,HJ,HQ;SK,D10,HK,CA;S7,D7,DK,DA"
1571410950,2,3,1,"C10,CA,CQ,C2;D6,D5,D2,DJ;C6,DA,C3,C4;S6,S2,S7,S3;C5,S8,C7,C9;C8,HQ,SQ,CJ;H4,H3,H2,H5;H10,H6,D8,H8;H9,D3,HA,HJ;HK,H7,S10,CK;DQ,DK,S5,SJ;D10,D7,S9,SK;D9,D4,S4,SA"
1571410950,2,1,1,"CJ,CQ,CA,C2;C7,C3,C4,C5;C9,SA,C8,C6;D8,D2,DJ,D3;SK,D7,CK,C10;DK,D5,HQ,D6;H5,H3,H8,H4;SQ,D4,H7,D9;H6,H9,H2,H10;S9,HJ,SJ,HK;S8,DQ,S10,HA;S5,S4,S7,D10;S2,S3,S6,DA"
1571410950,2,0,1,"CQ,CA,C9,C2;S5,S3,S2,S4;S7,S8,S6,SJ;C3,C10,C4,C5;D5,D4,D2,D10;CK,DA,C6,C7;HQ,SQ,SA,S9;H5,HJ,H2,H3;D3,H9,D6,D7;SK,H8,D8,D9;H7,H4,HK,H10;DK,HA,CJ,S10;DQ,H6,C8,DJ"
1571410950,2,1,1,"CQ,CA,CK,C2;C8,C6,C4,C5;C10,C3,SK,CJ;D3,D2,D10,D8;S2,S9,DA,S3;HJ,S5,S6,SJ;H4,H5,H3,H2;S8,HK,H8,S4;H6,H7,H9,H10;D9,C9,HQ,HA;D6,D4,DK,DJ;SA,D7,C7,S7;D5,DQ,S10,SQ"
1571410950,2,4,1,"C8,C10,CA,C2;C7,C4,C5,C3;S4,S5,S3,S2;CJ,C6,SA,C9;D6,D2,D5,D3;S6,S7,SQ,S9;H7,S8,SK,SJ;H5,H2,H4,H3;D10,DK,D8,D4;DA,HK,CK,S10;H8,HQ,CQ,H9;DJ,HA,H10,D7;HJ,H6,D9,DQ"
