1571480005,2,0,3,"CQ,CA,C10,C2;C3,CK,C4,C5;C8,C9,C7,CJ;D3,D2,D7,D6;SK,H9,SQ,C6;DA,D8,D5,D9;S2,S9,S5,S3;HJ,H2,H7,H3;S8,S6,H8,S7;S4,H5,S10,SJ;H6,DK,HQ,H4;H10,DQ,DJ,HA;HK,D10,D4,SA"
1571480005,2,23,3,"CJ,CK,CA,C2;S7,S6,S4,S2;C5,C4,C7,C3;S10,S9,SA,S3;HK,CQ,C6,C9;H9,H3,H7,H2;DA,H6,C10,C8;D5,D3,D2,D4;D10,D6,D7,DK;H10,S5,SK,SJ;HQ,H8,S8,HJ;H5,D9,DQ,HA;H4,D8,DJ,SQ"
1571480005,2,4,3,"C9,CA,CJ,C2;C5,CQ,SA,C3;HA,C4,C6,C7;H7,HQ,H3,H2;H9,C8,HJ,CK;D5,SQ,D2,D7;D10,C10,D6,D8;S5,S2,S3,S7;HK,S4,S6,S8;H10,S10,SJ,S9;DQ,H8,D4,D9;H4,DJ,SK,H5;H6,D3,DA,DK"
1571480005,2,6,3,"CK,C7,CJ,C2;D4,D2,D5,DJ;C4,C6,CA,C3;C5,H10,C8,CQ;H6,H5,H3,H2;H4,SQ,H9,H8;HJ,H7,DA,HQ;HA,D6,C10,HK;D3,S10,SA,C9;S2,D10,S4,S8;S3,D9,S7,S9;S5,D8,DK,SJ;S6,D7,DQ,SK"
1571480005,2,0,3,"C10,CA,CK,C2;D3,D5,D6,DQ;D4,D7,D8,DA;C5,C4,C6,C3;C8,C7,S10,C9;S5,S2,HK,S3;H7,H3,H5,H2;D10,SK,SA,D2;H8,HA,SQ,H4;S4,H9,S7,S9;DJ,H6,S8,CJ;SJ,DK,HJ,HQ;S6,D9,H10,CQ"
1571480005,2,0,3,"CK,C4,CQ,C2;S6,S4,S3,S7;HA,C3,C6,C5;CJ,HQ,C7,C8;D4,D6,D8,D7;DA,D3,D9,D10;DJ,SQ,SA,DK;H5,H2,H6,H7;H3,SK,CA,H8;H4,C10,SJ,H9;DQ,C9,S10,H10;D5,S9,S8,HJ;D2,S5,S2,HK"
1571480005,2,8,3,"SK,C10,CA,C2;S4,S5,S2,SJ;HA,D2,D3,D7;H3,H5,H7,H2;HJ,H4,SQ,H6;S3,D4,D6,D8;HK,D5,D9,D10;C9,DA,C4,C3;S8,H9,CQ,H8;CJ,HQ,S6,S7;C7,H10,DK,S9;C6,CK,DQ,S10;C5,C8,DJ,SA"
1571480005,2,4,3,"CK,CA,C9,C2;S9,S3,S4,S2;C4,C5,C7,C3;S10,S5,S7,S6;CQ,C10,CJ,C6;D8,D2,D10,D3;SA,HA,S8,C8;D6,DA,D4,D9;H8,SQ,HQ,SJ;DJ,HK,D7,DK;DQ,HJ,D5,SK;H5,H3,H2,H6;H10,H7,H4,H9"
1571480005,2,24,3,"CJ,CQ,C10,C2;HA,C6,C3,C5;S4,SJ,S5,S7;H3,H4,H5,H2;SA,DA,C7,C4;S6,HJ,S9,S8;H7,HK,H6,H9;H8,H10,C8,C9;DK,DQ,CA,S2;D9,D10,CK,S3;D7,D8,HQ,S10;D6,D4,DJ,SQ;D5,D2,D3,SK"
1571480005,2,0,3,"C9,CJ,CA,C2;S8,S2,S4,S5;C7,C4,C5,CQ;C8,C3,C6,CK;D5,D2,D3,D6;D7,D4,HA,D8;DQ,DJ,C10,D9;H3,H2,SA,H5;H10,H4,SK,H6;S6,S10,S3,S7;SQ,SJ,HJ,D10;S9,HK,H9,DK;H8,HQ,H7,DA"
1571480005,2,21,3,"CA,CJ,CQ,C2;C4,SQ,C3,C6;C8,SK,C5,C7;SJ,S2,S3,S4;D3,D6,D2,D5;D4,D7,DA,D10;SA,HJ,HA,C9;HQ,H5,H2,H3;S7,D9,H9,S5;HK,H8,S8,S10;H10,H6,DK,D8;DQ,H7,CK,S6;DJ,H4,C10,S9"
1571480005,2,4,3,"CA,CJ,CK,C2;D3,D7,D5,D9;D4,DJ,D6,DK;D2,SA,D10,DA;C5,C9,C8,C3;S2,S9,S3,S5;C6,C10,SQ,C4;S4,S8,S7,S6;D8,H10,HA,C7;H7,H4,H5,H2;H9,SJ,SK,S10;H6,H3,HQ,HJ;CQ,HK,H8,DQ"
