1571850403,2,1,1,"CQ,CA,CK,C2;C8,C9,HJ,C4;D3,D2,D4,D5;DJ,D9,HA,D6;S8,S6,SJ,S3;H6,D8,H9,D7;S5,H8,H2,H3;H5,HK,S2,H7;CJ,H10,H4,HQ;C5,SA,S10,C6;C10,DK,S9,D10;S7,DA,C7,DQ;C3,SK,S4,SQ"
1571850403,2,11,1,"CK,CQ,CA,C2;C10,C6,C7,C8;S8,SJ,SK,S2;D2,D3,D4,D5;D10,D7,D6,D8;S6,S9,SA,S3;DA,DK,D9,DJ;H9,HK,SQ,S4;HA,H5,H6,H2;H8,H10,DQ,S5;H3,C9,HJ,S7;CJ,C5,H7,S10;C4,C3,H4,HQ"
1571850403,2,7,1,"C9,CQ,C8,C2;C4,CA,C3,C5;D6,D10,D4,D2;DJ,SA,D5,D7;HK,D3,DQ,DK;H2,H10,H4,H5;SQ,S7,S5,S2;HJ,SJ,HA,H3;HQ,S6,CK,S3;CJ,DA,H6,H7;C10,S10,H9,H8;SK,C7,S9,D8;S8,C6,S4,D9"
1571850403,2,0,1,"CA,CQ,C10,C2;D6,D8,D3,D2;DQ,D4,DK,DA;HA,C4,C5,C6;H7,H4,H3,H2;S8,S7,S4,S2;H6,H8,H9,H5;SK,HJ,S6,S3;CJ,HQ,DJ,HK;C8,C9,D7,C3;SJ,SQ,D10,H10;S9,CK,D9,S10;S5,C7,D5,SA"
1571850403,2,0,1,"CA,CK,CJ,C2;C10,C7,CQ,C4;D3,D5,D4,D2;C3,SA,C6,C5;C8,HA,DA,C9;H6,H9,H5,H2;S7,S5,S3,S2;S8,S9,S4,S10;SQ,H10,HJ,H7;HQ,DK,S6,SJ;D7,D6,SK,D8;D10,DJ,H4,DQ;H8,D9,H3,HK"
1571850403,2,19,1,"C6,CQ,CJ,C2;D8,D5,D6,D3;CA,S3,S5,S6;D2,S2,S4,S7;HJ,S10,S9,S8;C9,C10,C3,C4;H6,H7,H3,H5;D4,D9,H9,D10;HQ,HK,H4,H10;H2,SK,H8,HA;CK,DJ,SQ,D7;SA,DA,C8,SJ;DQ,C7,DK,C5"
1571850403,2,0,1,"CA,C9,CK,C2;S5,S8,S9,S2;C5,C7,C8,C6;D9,D5,D4,D6;CJ,C4,SQ,C10;S10,SJ,SA,S4;D10,D8,H8,DJ;H10,H5,H3,H4;C3,H7,SK,CQ;D7,H6,DA,DQ;HK,S3,H2,H9;D3,S7,HJ,HQ;D2,S6,HA,DK"
1571850403,2,14,1,"CK,CA,C9,C2;C4,C5,C6,C7;D4,D2,D3,D5;D7,D8,D6,D9;DQ,DJ,DK,D10;S9,S10,S4,S3;SA,HA,SQ,DA;H7,H4,H6,H2;CJ,H9,HK,C3;S7,HQ,SK,S6;H3,H8,HJ,C8;SJ,S5,H10,C10;S8,S2,H5,CQ"
1571850403,2,10,1,"C10,C9,CA,C2;S8,S7,S9,S2;CJ,CK,C3,C6;C8,SQ,C5,CQ;D8,D9,D10,DJ;D6,D2,D7,DQ;S4,SK,S6,S5;D5,SA,DK,DA;C4,H3,H6,H4;HQ,S10,HA,S3;HK,C7,H9,SJ;H10,HJ,H8,D3;H2,H5,H7,D4"
1571850403,2,0,1,"C10,CA,CJ,C2;S9,S8,S7,S10;S6,SQ,S2,SJ;C4,C8,C5,C6;C7,CK,C9,CQ;D8,D6,D9,D2;SK,C3,HA,S3;H2,H4,H3,H5;D7,D4,SA,D3;H8,H10,DQ,H6;DJ,HK,DA,S4;D10,HJ,DK,S5;D5,H9,H7,HQ"
1571850403,2,3,1,"CJ,CQ,CK,C2;C3,C6,C5,C4;S8,S3,S4,S2;D8,D10,D3,D2;D9,DK,DA,DQ;C8,C9,SQ,C10;SK,C7,HA,S5;HQ,H8,S7,S9;HJ,H5,S6,S10;H10,H4,SA,SJ;H6,H9,DJ,H2;D7,H7,CA,D4;H3,HK,D5,D6"
1571850403,2,13,1,"CK,C6,CA,C2;S10,SK,S7,S8;D7,D5,D6,D8;D10,D9,D3,DJ;SQ,C8,C4,C3;D2,CJ,DA,CQ;HQ,SA,DQ,D4;HA,S3,HK,S2;H6,S6,DK,S9;C10,H8,H5,H2;H9,HJ,C9,S4;H7,H10,C7,S5;H4,H3,C5,SJ"
1571850403,2,10,1,"CQ,C8,CK,C2;S10,S4,S3,S5;C7,C6,C5,C9;CJ,C4,DA,C10;D9,D4,D3,D2;S7,SK,S6,S2;SA,C3,HK,CA;HJ,H4,H3,H2;HQ,H7,SQ,S8;HA,H10,H6,H8;H9,H5,DJ,S9;DK,D10,D7,SJ;DQ,D6,D5,D8"
