1571993600,2,0,2,"CK,S5,CJ,C2;D7,D5,D8,D9;DQ,DK,D6,D10;CA,C4,HA,C5;S4,HK,S2,S3;H5,H2,H6,H3;S6,HQ,S7,S8;SK,HJ,SQ,S9;DJ,SA,D4,DA;D2,C9,CQ,C3;C10,H9,C7,S10;C8,H7,H10,SJ;C6,H4,H8,D3"
1571993600,2,6,2,"C8,CJ,CA,C2;SQ,S9,S10,SJ;D5,D2,D7,D6;D9,D4,D10,DJ;DK,D3,DA,DQ;HA,D8,S2,S3;H9,H3,H4,H5;HQ,HJ,HK,H7;H10,C10,S5,S4;SA,H8,C9,H2;C4,C5,S8,C3;S7,CK,C7,H6;S6,CQ,C6,SK"
1571993600,2,3,2,"CK,CA,CQ,C2;C6,SQ,C3,C4;S3,SK,S5,S4;C9,C7,HA,C5;CJ,DA,C10,C8;S2,HQ,S9,S6;D5,D2,D3,D4;D10,H8,S10,S7;D7,HK,D8,D6;H10,H4,H5,H2;H6,HJ,DJ,D9;SA,SJ,H7,H3;DK,DQ,S8,H9"
1571993600,2,25,2,"CA,CQ,CJ,C2;S4,S5,S6,S2;C3,SK,C5,C4;C8,C7,HK,C9;C6,CK,H9,C10;SJ,SQ,DA,S7;D2,D6,D3,D4;H7,HJ,H3,H4;D10,D7,DQ,D9;SA,D8,HQ,S3;H8,D5,S10,DJ;H5,H6,S9,H10;H2,DK,S8,HA"
1571993600,2,17,2,"C9,CA,C10,C2;D6,D2,D7,D3;S10,S5,S3,S4;DQ,DJ,DK,D4;S9,S7,S2,S6;C5,C8,C3,C6;S8,SK,SQ,SJ;C4,CK,C7,CJ;HQ,HA,D9,D10;H5,H6,H2,H3;SA,H10,H7,H8;H9,HJ,D8,HK;H4,CQ,D5,DA"
1571993600,2,0,2,"CJ,CA,CK,C2;S8,S5,S6,S2;D5,D2,D6,D7;C4,C5,C7,C3;C10,SK,C9,CQ;SQ,D8,DJ,D4;HA,S10,S7,SJ;H7,H6,H2,H3;SA,D3,DQ,D9;H10,H8,H9,H4;S9,DA,H5,HJ;C8,S4,HK,D10;C6,S3,HQ,DK"
1571993600,2,22,2,"CQ,CK,CA,C2;C6,C5,C7,C4;S5,S6,S8,S2;S10,SA,S9,SJ;C3,C9,HQ,C8;S7,SQ,S4,C10;S3,SK,D10,CJ;D6,D7,HK,D8;DJ,D3,H9,DQ;D9,DA,H7,DK;H6,H10,D5,H2;D4,H3,H5,H8;D2,HA,H4,HJ"
1571993600,2,4,2,"CK,CA,C3,C2;SQ,C4,C7,C5;HA,S4,S3,S2;SK,S5,HK,S6;H7,H8,H3,H5;HJ,C8,C9,C6;HQ,S9,SA,S8;DA,CJ,S7,C10;D6,D4,D2,D3;CQ,H4,DJ,H6;DK,H2,D10,H9;DQ,SJ,D9,H10;D8,S10,D5,D7"
1571993600,2,0,2,"C4,CJ,CQ,C2;S5,S2,S4,S6;SQ,S8,S10,SJ;D6,D9,D4,D7;C5,C6,SK,C3;D5,SA,D2,D8;DJ,HA,D10,DQ;H6,H9,H3,H5;C10,CA,S7,S3;H10,H7,H8,H4;HK,DK,DA,S9;HJ,C8,HQ,C7;D3,C9,H2,CK"
1571993600,2,5,2,"CA,C7,CQ,C2;S6,S2,S4,S3;D8,D9,D10,D2;SQ,SJ,SK,S7;DK,D5,D3,D6;S9,S5,H5,S8;H3,DQ,H2,H4;H7,D7,H8,H6;H10,HQ,CJ,HJ;C5,C3,HA,C6;C9,DA,D4,DJ;HK,SA,C8,C10;H9,S10,C4,CK"
1571993600,2,0,2,"CQ,CA,CJ,C2;D6,D8,D10,D2;D9,D5,D4,DJ;C8,C10,C5,C3;S4,S2,S3,S5;SQ,SK,SA,S6;DK,D3,HA,D7;S9,S8,DQ,S10;S7,C9,HJ,SJ;C7,HK,H4,DA;H6,H3,CK,H7;H5,H9,C6,H8;C4,HQ,H2,H10"
1571993600,2,25,2,"CA,CK,CJ,C2;C7,C8,C5,C3;D9,D10,D8,DJ;S2,S5,S4,S3;CQ,SQ,C4,C6;S6,C9,S8,S7;D3,HA,D5,D2;H3,H5,H4,H2;S9,D7,SA,C10;H10,HK,D4,D6;H9,HQ,SK,DQ;H8,HJ,SJ,DK;H6,H7,S10,DA"
