1570638689,3,3,1,"CK,C8,C3,C2;CA,CQ,C10,C4;S6,S5,S3,S2;SQ,S10,S9,S7;C6,HJ,CJ,C5;SK,S4,S8,SJ;H9,H8,H2,H3;H10,H6,HA,H4;H7,HK,D2,H5;D3,DA,D8,D4;D9,D7,DK,HQ;DQ,DJ,D6,D5;D10,C9,C7,SA"
1570638689,3,4,1,"CQ,CA,C10,C2;C6,C4,C5,CK;DA,D2,H9,D5;S2,S9,S7,S6;D8,C7,CJ,C3;SQ,S4,HJ,S3;D10,D3,H5,C8;HA,D4,DK,C9;SA,H3,SJ,S5;H4,S10,SK,S8;H6,H8,DJ,H7;D7,HK,H2,H10;D6,D9,DQ,HQ"
1570638689,3,0,1,"C4,C3,CA,C2;CK,C7,CQ,C9;SJ,S7,SA,S2;D7,D8,DA,D3;HJ,S6,SK,S9;C8,D9,DJ,D4;S5,C6,H9,S4;H6,D5,D2,D6;HA,D10,H8,DK;C10,H5,S8,S3;HK,H2,H7,H4;C5,DQ,H10,S10;CJ,H3,HQ,SQ"
1570638689,3,18,1,"CQ,C7,C10,C2;SK,SQ,S9,S3;D5,CJ,C4,CA;D4,DQ,DA,D2;SA,SJ,S6,S10;S4,D7,H6,S2;D8,H9,S8,S7;H8,HJ,C9,S5;H2,HQ,HA,H4;H10,H5,CK,C5;D9,DK,D3,D6;H7,C6,C8,HK;H3,C3,DJ,D10"
1570638689,3,19,1,"CQ,C10,C9,C2;SK,SA,S9,S3;C6,C8,C3,CJ;C7,H7,C5,CK;DJ,D7,DQ,D3;S2,H6,SJ,S4;S7,S6,H3,S5;HQ,HK,H9,H2;H4,HJ,S10,H10;SQ,HA,DA,H5;DK,D4,D9,D8;D2,D5,CA,D6;H8,S8,C4,D10"
1570638689,3,0,1,"CK,C10,C6,C2;D6,DQ,D10,D3;C4,CA,C7,C9;DA,DK,D7,D9;S2,S9,SA,S3;CJ,H7,CQ,C5;S5,S4,S7,S6;H4,HQ,H5,H2;HA,H10,H3,H6;S10,DJ,SJ,S8;H8,D8,HK,H9;C8,D2,D5,HJ;SQ,D4,SK,C3"
1570638689,3,0,1,"CA,C7,CK,C2;D3,D4,D7,D10;DK,D6,D9,DJ;S3,D5,DA,D8;SQ,SJ,SK,S4;H3,DQ,S9,D2;S6,C5,S7,S2;H8,H4,HA,H2;HQ,H5,H7,H6;HJ,C8,H9,H10;CQ,C9,SA,C3;C4,S8,C10,S5;CJ,S10,C6,HK"
1570638689,3,1,1,"CK,C9,CJ,C2;C3,C5,CQ,C8;S2,S10,S5,S6;S3,S7,SQ,S9;D5,D7,D9,D2;D8,D10,DK,D6;CA,DQ,DJ,C7;SJ,DA,H10,C4;H9,H5,H8,H2;D4,S4,HK,S8;HA,SK,H7,SA;H6,H3,C10,HJ;D3,H4,C6,HQ"
1570638689,3,0,1,"C10,C4,C6,C2;CA,CK,C8,C7;C5,C3,CJ,CQ;D3,D4,DA,D7;D8,D9,DJ,D2;SJ,S6,S4,S7;D10,D6,DK,DQ;H3,H5,S10,D5;HQ,H9,H6,H4;SA,SQ,H7,S8;S2,H8,SK,S3;S9,H2,HA,HJ;HK,S5,H10,C9"
1570638689,3,18,1,"C7,C4,CA,C2;S3,SK,SQ,S6;D3,D5,D9,D4;CK,CJ,C3,C9;DA,H8,D8,D6;S7,H7,SA,S4;S5,S10,H4,S2;C10,S9,S8,SJ;HQ,HA,H9,H3;H2,HK,H6,H5;DJ,H10,DQ,HJ;DK,C8,D7,C5;D2,CQ,D10,C6"
1570638689,3,4,1,"C9,C6,CJ,C2;S6,S2,SQ,S3;S10,S4,S8,S7;CK,C10,C4,C3;C7,CA,D8,C5;D9,SA,SK,S9;D6,DA,DK,D2;HJ,D4,S5,SJ;HQ,H10,H5,H4;HK,H8,HA,H3;D10,H9,H2,H6;C8,D3,D5,H7;CQ,D7,DQ,DJ"
1570638689,3,18,1,"CK,CQ,C3,C2;S3,SK,SQ,S2;SA,S6,HJ,S4;S7,D5,S10,S5;S9,SJ,C10,S8;H10,H4,H3,H2;C7,C8,CJ,C9;HQ,HA,H9,H8;HK,D4,D7,H5;DA,D6,DQ,D2;CA,H6,D10,C4;DJ,D8,C5,D9;D3,C6,DK,H7"
1570638689,3,0,1,"C8,C9,CA,C2;CJ,C7,C10,C4;C6,C3,CK,CQ;D8,D2,D9,D6;S4,S7,S2,S5;D5,DK,DQ,D3;SK,SA,SQ,S9;S6,H2,S3,S8;H4,D4,D7,DJ;H10,H7,H8,H9;H6,DA,HQ,S10;H5,H3,HA,SJ;HK,D10,HJ,C5"
