1570686615,3,17,3,"CJ,C5,C8,C2;CK,C9,C4,CQ;C3,C6,S9,C7;D3,CA,D4,C10;SK,S4,S8,S3;DQ,D7,DA,D2;SA,SQ,SJ,S6;S2,S5,S10,S7;DJ,DK,D9,D10;HQ,H2,H3,H6;H4,HK,HJ,H7;H10,D5,H8,H5;D6,H9,D8,HA"
1570686615,3,19,3,"CK,C4,C6,C2;C7,CJ,C9,C3;S6,S2,S5,S3;D6,DK,D7,D10;D8,DQ,D4,DJ;H9,H8,S10,C5;H2,H6,H7,H5;HQ,S7,HA,H3;H4,HJ,D2,H10;S9,SQ,D5,C8;S4,SK,DA,C10;S8,SJ,D3,CQ;SA,HK,D9,CA"
1570686615,3,0,3,"C9,CJ,C10,C2;C3,C5,C8,C6;S8,S7,S10,S3;C7,CK,C4,CQ;D9,DA,D3,D2;HA,D4,D5,CA;H8,H3,H6,H4;S5,H9,HQ,H2;DJ,D8,DK,D6;SA,HK,S2,H10;SJ,D7,D10,H5;S6,SK,DQ,H7;SQ,S9,S4,HJ"
1570686615,3,0,3,"C3,CK,C4,C2;SK,S10,S6,S7;C6,S5,CA,C10;SA,S4,SJ,S8;CJ,D5,C5,CQ;DK,DA,D4,D7;H3,SQ,H10,S2;HK,S9,H5,S3;D6,DQ,D2,D3;H8,HA,C7,H2;DJ,H4,H7,D8;H9,H6,D9,C8;HJ,HQ,D10,C9"
1570686615,3,2,3,"C4,C9,C5,C2;CK,C6,CJ,C3;C7,C8,CQ,C10;S4,HA,D7,CA;H7,HQ,H8,H2;S3,SQ,SA,S2;H5,H6,H10,H3;SK,S10,S8,S5;S9,H9,SJ,S6;D5,D9,D8,D3;D10,D4,DJ,D2;DK,HK,D6,S7;DA,HJ,DQ,H4"
1570686615,3,23,3,"C4,C8,C7,C2;CK,C9,CA,C5;SQ,S7,SJ,S8;CQ,C3,C10,C6;S2,S10,SK,S5;D6,D3,DA,D9;H2,H5,HK,CJ;HA,HQ,H8,H3;D8,DJ,D7,DQ;H9,S3,H7,S4;H10,D2,H4,S6;HJ,DK,H6,S9;D5,D10,D4,SA"
1570686615,3,1,3,"CK,C10,C5,C2;C9,C7,C6,CJ;D2,D7,DK,D4;S10,S3,S5,S6;S8,DQ,DJ,D5;S7,SK,SA,S2;C3,C8,H7,C4;HA,HQ,H8,H2;HJ,H6,H4,H5;S9,H3,HK,CQ;S4,D9,H10,CA;D6,DA,D10,SJ;D8,D3,H9,SQ"
1570686615,3,1,3,"C6,CQ,C4,C2;C7,C10,C8,CJ;D4,DK,H7,D2;S4,SK,S9,S2;HJ,H8,HA,H3;SA,S3,S7,S6;H4,CA,HK,H5;S10,DA,S5,S8;D5,D9,SJ,D6;CK,D7,HQ,C9;DJ,H10,DQ,H9;D3,C5,D10,H2;D8,C3,SQ,H6"
1570686615,3,13,3,"C9,DJ,C3,C2;DK,C7,CA,C4;SA,SQ,S7,S2;H3,C5,CQ,C6;CK,S8,S3,S10;D10,S5,SK,SJ;H4,H5,S4,S6;HA,D3,D4,S9;DQ,DA,D7,D2;H10,HK,HJ,H2;D6,H9,H6,C8;HQ,D9,H7,C10;D8,H8,D5,CJ"
1570686615,3,4,3,"CJ,CQ,C9,C2;S2,SQ,SK,S7;S8,S10,S3,S6;S5,H4,S9,S4;HA,H2,H10,H6;HK,H3,H8,H5;D7,D2,D4,D3;HQ,H7,C6,HJ;D5,DJ,D8,D6;C7,C10,CA,C8;SJ,D10,C4,H9;CK,DA,C3,C5;D9,DK,DQ,SA"
1570686615,3,20,3,"CK,C10,CA,C2;DQ,DK,D10,D2;S6,S5,S9,S7;D9,D5,DA,D7;H10,DJ,D4,D3;SQ,SA,C9,S10;C6,H4,S3,S2;H7,HA,H8,H3;H5,D8,H9,H2;C7,C3,C8,S4;HQ,CJ,C5,S8;HK,HJ,CQ,SJ;H6,D6,C4,SK"
