1571410868,3,13,3,"CJ,CQ,C8,C2;C4,C9,C7,C5;S5,S8,S7,S2;C3,CK,C6,C10;SK,S10,S9,S3;D2,D8,D3,D5;S4,SA,SQ,S6;D4,D7,D10,D6;DK,HA,DA,CA;H5,H6,H2,H3;DJ,HK,HJ,SJ;H9,HQ,H8,D9;H7,H10,H4,DQ"
1571410868,3,0,3,"CJ,C9,CQ,C2;D5,D4,D3,DA;S6,SJ,S2,S3;S5,S4,S9,S10;C4,SQ,C3,C8;C6,HK,C5,C10;D2,HQ,DJ,D6;D9,D10,HJ,DK;H10,SA,H4,C7;H8,H5,H3,H6;HA,H2,SK,D7;H9,S8,CA,D8;H7,S7,CK,DQ"
1571410868,3,12,3,"CA,CJ,C10,C2;S4,S10,S5,S2;C3,C6,C4,C5;S6,SQ,S7,S3;C8,C7,SK,C9;D3,D6,D4,D10;D2,D8,D5,DJ;DQ,DK,D9,DA;SJ,S8,S9,SA;H7,H6,H3,H4;CK,D7,H10,CQ;H2,H8,HA,H9;HQ,HJ,H5,HK"
1571410868,3,26,3,"CA,C9,CQ,C2;S5,S3,S4,S2;C6,C4,C3,C5;D5,D8,D2,D3;S7,HA,S9,S6;C7,SA,DA,C10;C8,SJ,HK,CJ;H9,H7,HQ,CK;S8,H5,H6,SQ;H4,H3,H2,H8;S10,D9,DQ,H10;DK,D7,DJ,HJ;D10,D6,D4,SK"
1571410868,3,4,3,"CK,CA,DK,C2;H8,C4,C5,C3;D7,D2,D6,D3;H2,H9,HJ,H3;D10,D4,D8,D5;H4,H7,HA,H5;SQ,D9,DJ,DA;C9,DQ,C7,C8;SJ,H6,SA,H10;S9,HQ,CQ,HK;S2,S7,S4,S3;C10,SK,S8,C6;S5,S6,CJ,S10"
1571410868,3,0,3,"CK,C9,CA,C2;C5,C6,C8,CQ;D5,D2,D3,D10;SQ,S3,S4,S2;D4,DQ,SK,D6;HK,HA,D7,DK;H2,H4,CJ,H3;C7,SA,HJ,C3;S7,S6,HQ,S5;S8,H10,S9,SJ;H5,H9,DJ,H7;D9,DA,S10,C4;D8,H8,H6,C10"
1571410868,3,17,3,"CA,C5,CK,C2;S3,S4,SJ,S2;C9,C3,C4,CJ;H10,SK,C10,CQ;H5,H8,HK,H2;SA,H4,HA,C6;DA,DJ,HJ,C7;HQ,D8,H7,C8;D7,D5,D4,D2;S9,D10,SQ,H3;S8,D9,DK,H6;S7,S10,D6,H9;S5,S6,D3,DQ"
1571410868,3,0,3,"CK,CA,C10,C2;C7,C3,C6,C4;S2,S7,S5,S3;C9,HA,CJ,C5;S8,SK,S4,S6;H2,H9,H4,H5;SQ,H8,S10,S9;DQ,H3,HJ,H6;SA,D8,D3,D2;DA,D4,SJ,D6;DK,HK,DJ,H7;D9,HQ,D10,C8;D7,H10,D5,CQ"
1571410868,3,13,3,"CK,CA,CJ,C2;S2,S4,S6,S8;S5,S3,S7,S10;SQ,DA,S9,SJ;D2,D7,D3,D4;C4,C5,C8,C3;D6,DK,D8,D5;C10,C6,SK,CQ;H5,H3,HJ,H2;HA,SA,DJ,D9;HK,H8,H4,H6;HQ,C9,C7,D10;H7,H10,H9,DQ"
1571410868,3,16,3,"CK,CQ,C8,C2;C9,C4,C6,CJ;D4,SA,D3,D2;S2,S7,S5,S3;SQ,C10,C3,C5;SK,D5,D7,D6;DQ,S8,CA,S4;DA,S10,HK,S6;HQ,HA,C7,S9;H8,HJ,H10,SJ;H4,H2,DJ,H3;H7,D10,DK,H5;D9,D8,H6,H9"
1571410868,3,15,3,"S10,C7,C10,C2;C6,HJ,C3,C4;H7,H4,H5,H2;S4,S2,S9,S3;D3,D4,D9,D7;HQ,H9,H3,H6;S7,C5,C9,C8;SQ,S5,H10,H8;SJ,SK,DQ,S6;DJ,S8,SA,CJ;D8,HK,HA,CQ;D6,D10,DA,CK;D2,D5,DK,CA"
