1571891239,3,0,2,"CJ,CA,C10,C2;C4,C9,C3,C5;C7,C6,SQ,C8;DA,CK,SA,CQ;D9,D3,D2,D4;S9,S4,HQ,S5;H5,H6,H7,H4;S8,S3,H8,S6;H9,H2,HJ,H10;SK,S2,DJ,S7;HK,D10,D8,HA;DK,D5,SJ,D6;D7,S10,DQ,H3"
1571891239,3,0,2,"CJ,CA,CK,C2;S10,S7,S3,S2;D4,D9,D8,D5;C8,C7,C10,C9;SQ,S4,SK,S6;D10,DQ,DK,D6;CQ,S9,SA,C3;D3,DA,H10,D7;H8,HA,D2,S5;H7,DJ,HK,S8;H6,C6,HQ,SJ;H5,C5,H4,H9;H2,C4,H3,HJ"
1571891239,3,7,2,"CQ,C7,CA,C2;C8,C3,C6,C9;D7,D8,D3,D4;S6,S2,S7,S3;S9,SK,S10,SJ;SQ,C5,C10,C4;SA,S8,HA,S4;H9,H4,H2,H5;H7,D9,D5,D6;D2,DA,H6,S5;H10,DK,H3,H8;DJ,CK,HJ,HQ;D10,CJ,DQ,HK"
1571891239,3,0,2,"CA,CQ,CK,C2;C8,C5,C10,CJ;D6,D8,D4,D3;C6,SA,C7,C3;S8,S6,S9,S3;D2,DQ,D5,D7;DK,D9,HK,D10;SK,S7,S2,S4;H5,H4,H6,H2;HJ,SJ,SQ,S5;S10,H10,HQ,DJ;C9,H9,H8,DA;C4,H3,H7,HA"
1571891239,3,0,2,"CJ,CQ,CK,C2;C5,C4,C7,C8;D5,D8,D3,D4;D2,DJ,DQ,D7;SQ,SK,SA,S2;CA,D10,DA,D6;DK,S4,S5,S3;S9,HK,S7,S8;HQ,S10,HA,SJ;H4,H2,D9,H3;H7,C10,H5,H6;C9,C6,HJ,S6;C3,H8,H10,H9"
1571891239,3,0,2,"C9,C7,CQ,C2;S8,S3,S7,S2;D10,D4,D5,D2;D3,D8,DJ,DQ;SK,C5,C4,C3;HA,S9,S6,S4;H8,H9,DA,H3;CA,SQ,S10,S5;HQ,C8,CJ,C6;SA,H7,D7,D6;D9,SJ,H5,DK;CK,H10,H4,HJ;C10,H6,H2,HK"
1571891239,3,0,2,"CK,CA,C10,C2;D7,D8,D4,D9;C8,C6,C7,C3;S6,S3,S2,S4;S7,SK,S9,S5;S8,C4,CQ,C5;SQ,D10,DJ,DQ;SJ,DK,D3,DA;H10,HJ,S10,SA;H3,H4,H2,H5;H7,D6,HQ,H6;H8,CJ,D5,H9;HK,C9,D2,HA"
1571891239,3,14,2,"CA,CK,CJ,C2;C3,C5,C7,C4;C10,C9,SA,C6;D7,D10,D4,D2;S8,S7,S9,S3;HJ,SK,SQ,C8;H5,H8,H9,H3;HA,S6,DA,S2;HK,S4,CQ,S5;H4,S10,HQ,SJ;D8,D6,H10,D9;D3,DJ,H7,DQ;H2,D5,H6,DK"
1571891239,3,0,2,"CA,CK,CQ,C2;S4,S3,S6,S5;D2,D5,D3,D4;SK,C5,C4,C6;HK,C8,C7,C9;H2,H6,H5,H3;H9,H10,H7,H8;D8,DJ,D6,D7;HA,SQ,HJ,C3;S10,DA,DQ,C10;D9,D10,DK,CJ;HQ,S9,S7,S8;S2,SA,H4,SJ"
1571891239,3,1,2,"C7,CA,CK,C2;C10,C8,C5,CJ;D5,D2,D4,D6;HK,DJ,D3,D7;H6,H5,H2,H3;S5,S3,S7,S2;HJ,H7,H4,H8;S10,S8,S6,S4;H10,SQ,D9,D10;CQ,SA,DQ,DK;C9,HA,D8,DA;C6,C4,S9,SJ;C3,H9,HQ,SK"
1571891239,3,9,2,"CK,C8,CA,C2;C7,C10,C3,C4;S7,S3,S8,S9;C6,C9,CQ,CJ;D4,D2,D6,D3;D8,D10,D7,D5;D9,DQ,SA,DJ;S10,HA,SJ,SQ;HJ,H6,H2,H3;DA,S2,H10,S4;DK,S6,H9,S5;H8,SK,H5,C5;H7,HK,H4,HQ"
1571891239,3,19,2,"CJ,CA,C10,C2;S7,S5,S8,S3;C6,C7,C5,C4;SK,S10,S9,S2;SQ,C9,HK,CQ;SA,C8,H9,CK;D2,D5,D7,D3;HA,HQ,SJ,S4;H4,H10,H3,H5;H7,HJ,H2,H8;S6,DJ,H6,C3;D6,D4,D9,D8;DA,DQ,D10,DK"
1571891239,3,24,2,"CK,CA,CQ,C2;C5,C8,C3,C4;S8,S7,S3,S2;D9,D8,D10,DJ;C10,SK,H6,C6;D5,D7,SA,D2;HK,S9,S4,S5;D3,D6,H10,D4;H7,SQ,SJ,S6;DA,DK,H2,DQ;H5,CJ,H8,H4;HJ,H3,C9,HQ;H9,S10,C7,HA"
1571891239,3,26,2,"CJ,CK,CA,C2;S5,S2,S4,S3;C6,C3,C7,C4;C8,S7,S6,S8;H10,S10,SQ,S9;D2,D7,D8,D3;H6,H2,H3,H4;D10,D9,DQ,D6;HK,H9,H8,H5;HQ,H7,HJ,HA;SJ,DK,DA,DJ;SA,C9,D5,C5;D4,C10,SK,CQ"
