1571969148,3,0,1,"CA,C8,C10,C2;C7,C9,CQ,C4;D7,D3,D5,D8;SQ,C6,C3,CJ;DA,C5,H7,CK;H3,H2,DJ,H4;H8,HJ,DK,H5;S9,S10,S3,S2;HQ,H10,DQ,H6;HK,D2,SA,D4;SJ,S8,SK,D6;S6,S7,HA,D9;S4,S5,H9,D10"
1571969148,3,11,1,"CK,C10,CA,C2;CQ,C6,C4,C3;SK,C9,C8,CJ;D9,D4,D5,D2;S4,S8,S3,S5;SQ,DA,C7,C5;DJ,D10,DK,D8;HA,SA,S2,S6;H7,H2,H4,H5;S7,HQ,HK,S9;S10,HJ,H6,SJ;H9,H8,D7,H10;DQ,H3,D6,D3"
1571969148,3,17,1,"C10,CQ,CA,C2;C8,C9,CJ,CK;D2,SK,D4,D5;D6,HA,D3,D7;H2,H5,H4,H3;S5,S3,S4,S6;S10,S2,S9,S7;SQ,C3,C5,C4;SA,H10,DA,S8;H7,C7,C6,SJ;D9,DJ,HQ,D8;H9,HK,DK,H6;DQ,HJ,H8,D10"
1571969148,3,0,1,"C9,CJ,CA,C2;SK,S2,S4,S3;HQ,C10,C3,C4;HK,D8,D3,D4;H10,HA,H4,H3;H8,D9,D2,D5;H2,SQ,H6,H5;SA,S10,S6,S7;H7,S8,SJ,H9;S9,S5,CK,HJ;DK,DQ,C8,DA;D7,DJ,C5,C6;D6,D10,C7,CQ"
1571969148,3,0,1,"C10,C9,CA,C2;CQ,C4,C6,C5;D8,D3,D7,D9;D4,DQ,DK,DA;C3,D10,SQ,C7;SK,HK,H10,C8;HA,H8,H7,CJ;D2,H5,H6,CK;H3,SJ,H4,H9;S8,S9,H2,HJ;S7,S6,DJ,HQ;S5,S4,D6,S10;S2,S3,D5,SA"
1571969148,3,24,1,"CJ,CK,C7,C2;D7,D6,D8,D2;SQ,SA,S6,S2;C5,C10,C6,C3;S8,C4,S9,S10;S5,HK,S7,SJ;H6,H8,H5,H2;DQ,DA,H4,D4;S4,HJ,H9,H3;D5,HA,S3,D9;D3,HQ,CQ,D10;SK,H10,C9,DJ;CA,H7,C8,DK"
1571969148,3,0,1,"DK,CA,CQ,C2;C6,C3,HA,C4;H3,H2,H5,H4;H7,H9,H6,H8;S7,SK,S4,S5;HQ,DA,HJ,HK;C7,C5,S6,C8;D6,DJ,D4,D2;S3,SQ,SJ,S8;SA,CK,D9,D3;DQ,H10,S9,S2;D8,D10,CJ,S10;D7,D5,C9,C10"
1571969148,3,21,1,"C6,CJ,CQ,C2;S7,S3,S2,S4;D3,D5,D4,D2;C8,C9,SA,C3;HQ,C5,C10,CK;H4,H3,DA,H5;H6,H9,C7,H7;S6,CA,H10,C4;H2,HA,DK,H8;D8,SQ,S10,D9;D7,SJ,S9,D10;DJ,HK,S8,DQ;D6,HJ,S5,SK"
1571969148,3,0,1,"CA,CK,C8,C2;C4,C7,CJ,C9;S7,S4,S3,S2;D3,D2,D4,D5;D6,D8,D7,D9;DA,DQ,H9,D10;S10,SJ,SQ,S5;C3,SA,S6,DJ;H7,HQ,H6,DK;H5,HJ,H3,H8;H2,HK,H4,H10;S9,C6,CQ,HA;S8,C5,C10,SK"
1571969148,3,0,1,"C9,CK,CA,C2;S5,S2,S3,S4;SA,C3,C4,C5;D7,D3,D5,D2;HJ,S9,SQ,S6;HK,D6,D4,D8;HQ,D10,DK,DJ;H6,H2,H3,H4;H9,D9,HA,DQ;H5,CQ,H8,H10;S10,CJ,H7,DA;S8,C7,C10,SJ;S7,C6,C8,SK"
1571969148,3,0,1,"C9,CA,CQ,C2;C7,C8,C3,C5;S8,S5,S10,S2;CJ,SA,C6,C4;S6,S4,HA,S7;S3,SQ,C10,S9;H4,H7,H5,H2;HJ,H6,H8,H9;SK,HQ,H10,HK;D5,D4,D6,D2;DA,SJ,H3,CK;DJ,D3,D8,D7;D9,DQ,D10,DK"
