1571993735,3,1,1,"C8,CK,CA,C2;DQ,D3,D4,D5;C6,HQ,C3,C4;H3,SQ,H5,H4;SK,H10,C7,C9;DA,H8,C5,C10;S2,S7,S8,S4;S6,HJ,S5,S9;SA,H7,H2,CJ;HA,H6,DK,CQ;SJ,D6,D9,D7;DJ,HK,D10,S3;D8,H9,D2,S10"
1571993735,3,0,1,"C7,CK,CA,C2;C6,SQ,C8,C9;C10,SK,C4,CJ;D4,D2,D6,D3;S7,S9,S10,SJ;SA,C5,HK,CQ;D5,D7,D8,D9;D10,C3,DJ,DQ;H6,H5,S8,H7;H2,H8,S6,H9;H10,H4,S5,HJ;DA,H3,S4,HQ;DK,S2,S3,HA"
1571993735,3,17,1,"C6,CK,CQ,C2;CJ,C8,C3,C4;D5,D8,D4,D2;S3,S2,S5,S4;C5,C7,C10,CA;D7,D6,D10,D3;SQ,DQ,SK,C9;S7,S9,SJ,S6;SA,DJ,S8,DK;H8,H9,H3,H2;HQ,H10,HA,D9;H7,H6,S10,DA;H5,H4,HK,HJ"
1571993735,3,3,1,"CA,C10,CK,C2;S10,SJ,SK,S2;D3,D4,D5,D2;SQ,S4,S7,S3;DA,D8,D10,DJ;S9,H8,SA,S8;H4,H7,H2,H3;H5,HA,HK,S5;CJ,HJ,HQ,S6;C6,CQ,H10,H6;C5,DK,C9,H9;DQ,D9,C7,C3;C8,D6,D7,C4"
1571993735,3,14,1,"C7,CA,CJ,C2;C10,CQ,C5,CK;D9,D8,DJ,D7;DQ,D6,SA,DK;S5,S2,S6,S3;S9,S7,S10,S8;HJ,SQ,SK,SJ;C9,H6,H5,H2;H4,H3,C4,H7;H8,H9,D5,H10;HA,DA,D4,C3;S4,HK,D3,C6;HQ,D10,D2,C8"
1571993735,3,9,1,"CQ,CA,C8,C2;D3,D2,D4,D5;D9,DJ,DQ,D6;D10,DK,D7,DA;C7,SA,C9,C10;C5,HA,C6,CJ;S5,S2,S3,S4;H9,H6,H10,H2;S10,S7,S9,S6;HJ,H5,HQ,H3;SK,D8,H4,S8;H7,CK,SQ,H8;HK,C3,SJ,C4"
1571993735,3,12,1,"CQ,CA,C6,C2;S6,S2,S3,S4;SA,C10,C5,C3;D10,D6,D4,D7;S5,S9,S8,S7;SQ,DA,S10,SJ;DK,D5,D8,D9;C4,DQ,C9,C7;CJ,SK,HQ,C8;H6,H2,H4,H3;HJ,HA,CK,D2;H9,HK,H10,D3;H7,H5,H8,DJ"
1571993735,3,20,1,"C4,CK,CA,C2;D7,D5,D9,D6;D10,D4,D2,DJ;C7,C9,C3,C5;H4,CJ,C6,C8;D8,S2,S3,S4;HK,S5,S6,S7;HJ,SK,S9,S10;H3,H7,H6,H2;H10,HA,DK,H8;DQ,H9,H5,HQ;SJ,SQ,CQ,D3;S8,SA,C10,DA"
1571993735,3,0,1,"CK,CA,C10,C2;S9,S8,S10,SJ;C5,C4,C6,C3;C7,C9,CJ,C8;D9,D8,D7,D10;S4,HA,S2,S3;H7,H9,H3,H4;SQ,D3,D5,D2;HK,H2,H6,H5;H10,D6,D4,DJ;H8,DA,DQ,DK;HQ,SK,S6,HJ;S7,S5,SA,CQ"
1571993735,3,1,1,"CK,CA,C10,C2;S9,S5,S7,S3;C5,C9,CJ,C3;D6,D10,D8,D3;DK,D9,DJ,DQ;HA,SK,S4,S6;H9,HK,H3,H4;DA,SA,S2,S8;H8,HQ,H6,H7;H5,D5,SJ,S10;C8,H2,C7,C4;D7,C6,SQ,H10;D4,D2,CQ,HJ"
1571993735,3,1,1,"CA,C10,CK,C2;D9,D10,D6,D7;C3,C6,HA,C4;H7,H5,H4,H2;S3,S5,S2,S4;H6,H10,HJ,H3;CJ,C5,DA,C7;HK,HQ,SQ,H8;DJ,S10,DQ,DK;S7,S6,SK,S8;SA,D5,CQ,H9;SJ,D3,C9,D4;S9,D2,C8,D8"
1571993735,3,6,1,"CA,CQ,CK,C2;C5,C6,C4,C7;D7,D4,D8,D2;D6,D3,D10,D9;SQ,D5,DJ,DQ;C9,SK,C10,CJ;S7,S3,S2,S4;HA,S8,S5,S6;SA,S9,DA,S10;H3,H2,H8,H4;H7,C3,DK,C8;H6,HQ,H9,H10;HK,HJ,H5,SJ"
1571993735,3,0,1,"C8,CA,C10,C2;SQ,SK,S3,S5;D6,D3,D5,D2;C7,C6,C5,C3;S7,HJ,S9,S8;H6,H2,H7,H3;H4,H5,H8,H9;DQ,D10,DK,D4;DJ,S10,DA,S2;HK,HQ,CK,HA;D7,SJ,CJ,D8;CQ,S6,C9,D9;H10,S4,C4,SA"
